controller;battery;memory_avaliable;total_memory_avaliable
controller 61;75;81;1659
controller 61;75;81;1659
controller 61;75;82;1679
controller 61;75;82;1679
controller 53;79;80;1638
controller 53;79;86;1761
controller 53;79;86;1761
controller 53;78;86;1761
controller 53;78;86;1761
controller 53;78;86;1761
controller 53;78;86;1761
controller 53;78;86;1761
controller 53;78;86;1761
controller 53;78;86;1761
controller 53;78;86;1761
controller 53;78;88;1802
controller 53;78;75;1536
controller 53;78;75;1536
controller 53;78;74;1516
controller 53;78;74;1516
controller 53;78;74;1516
controller 53;78;74;1516
controller 53;77;74;1516
controller 53;77;74;1516
controller 53;77;82;1679
controller 53;77;80;1638
controller 53;77;80;1638
controller 53;77;83;1700
controller 53;77;79;1618
controller 53;76;79;1618
controller 53;76;78;1597
controller 53;76;78;1597
controller 53;76;78;1597
controller 53;76;78;1597
controller 53;76;85;1741
controller 53;76;85;1741
controller 53;76;83;1700
controller 53;76;83;1700
controller 53;76;72;1475
controller 53;76;70;1434
controller 53;76;71;1454
controller 53;76;74;1516
controller 53;76;71;1454
controller 53;76;69;1413
controller 53;76;71;1454
controller 53;76;82;1679
controller 53;76;85;1741
controller 53;76;78;1597
controller 53;76;78;1597
controller 53;76;77;1577
controller 53;76;77;1577
controller 53;76;67;1372
controller 53;76;66;1352
controller 53;76;62;1270
controller 53;76;62;1270
controller 53;76;62;1270
controller 53;76;64;1311
controller 53;76;64;1311
controller 53;76;64;1311
controller 53;76;66;1352
controller 53;76;83;1700
controller 53;76;83;1700
controller 53;76;83;1700
controller 53;76;82;1679
controller 53;76;80;1638
controller 53;76;84;1720
controller 53;75;94;1925
controller 53;75;94;1925
controller 53;75;98;2007
controller 53;75;93;1905
controller 53;74;92;1884
controller 53;74;92;1884
controller 53;74;92;1884
controller 84;75;82;1679
controller 84;75;99;2028
controller 84;75;98;2007
controller 84;75;95;1946
controller 71;58;78;1597
controller 71;58;80;1638
controller 71;58;80;1638
controller 53;73;94;1925
controller 53;73;94;1925
controller 53;73;94;1925
controller 53;73;94;1925
controller 53;73;94;1925
controller 53;73;94;1925
controller 53;73;93;1905
controller 53;73;90;1843
controller 53;73;90;1843
controller 53;72;90;1843
controller 53;72;90;1843
controller 53;72;84;1720
controller 61;70;79;1618
controller 61;70;79;1618
controller 61;70;79;1618
controller 61;70;78;1597
controller 61;70;87;1782
controller 61;70;87;1782
controller 53;72;92;1884
controller 53;72;92;1884
controller 53;72;91;1864
controller 53;72;84;1720
controller 53;72;84;1720
controller 53;72;84;1720
controller 53;72;81;1659
controller 53;72;83;1700
controller 53;72;83;1700
controller 61;69;87;1782
controller 61;69;79;1618
controller 61;69;79;1618
controller 61;69;79;1618
controller 61;69;79;1618
controller 61;69;79;1618
controller 61;68;79;1618
controller 61;68;79;1618
controller 84;74;80;1638
controller 84;74;84;1720
controller 84;73;78;1597
controller 84;73;73;1495
controller 84;73;78;1597
controller 84;73;78;1597
controller 84;73;78;1597
controller 84;73;78;1597
controller 84;72;78;1597
controller 84;72;84;1720
controller 84;72;84;1720
controller 84;72;84;1720
controller 84;72;84;1720
controller 84;72;84;1720
controller 84;72;86;1761
controller 84;72;82;1679
controller 84;72;82;1679
controller 84;71;82;1679
controller 84;71;82;1679
controller 84;71;81;1659
controller 84;71;81;1659
controller 84;71;81;1659
controller 84;71;81;1659
controller 84;70;78;1597
controller 84;70;78;1597
controller 84;70;84;1720
controller 84;70;86;1761
controller 61;65;91;1864
controller 61;65;91;1864
controller 61;65;91;1864
controller 61;64;91;1864
controller 61;64;91;1864
controller 61;64;91;1864
controller 61;64;88;1802
controller 53;70;86;1761
controller 53;70;86;1761
controller 18;63;78;1597
controller 18;63;79;1618
controller 71;56;56;1147
controller 71;56;56;1147
controller 71;56;58;1188
controller 71;56;58;1188
controller 71;55;58;1188
controller 71;55;58;1188
controller 71;55;58;1188
controller 71;55;58;1188
controller 71;54;59;1208
controller 71;54;68;1393
controller 71;54;68;1393
controller 71;54;68;1393
controller 71;54;71;1454
controller 71;54;71;1454
controller 71;54;75;1536
controller 71;54;76;1556
controller 71;54;63;1290
controller 71;54;64;1311
controller 71;54;64;1311
controller 71;54;72;1475
controller 71;54;72;1475
controller 71;54;72;1475
controller 71;54;72;1475
controller 71;54;78;1597
controller 71;54;77;1577
controller 71;54;76;1556
controller 71;54;72;1475
controller 71;54;74;1516
controller 71;54;74;1516
controller 71;54;74;1516
controller 18;62;79;1618
controller 18;62;79;1618
controller 18;62;91;1864
controller 18;62;91;1864
controller 18;62;91;1864
controller 18;61;90;1843
controller 18;61;90;1843
controller 71;54;85;1741
controller 71;54;85;1741
