controller;battery;memory_avaliable;total_memory_avaliable
controller 70;79;88;1802
controller 70;79;88;1802
controller 98;94;83;1700
controller 98;94;78;1597
controller 98;94;79;1618
controller 98;94;83;1700
controller 98;94;83;1700
controller 98;94;78;1597
controller 98;94;79;1618
controller 98;93;79;1618
controller 98;93;79;1618
controller 98;93;81;1659
controller 98;93;80;1638
controller 98;93;80;1638
controller 98;93;80;1638
controller 98;93;81;1659
controller 65;85;57;1167
controller 65;85;56;1147
controller 65;85;56;1147
controller 65;85;47;963
controller 69;81;78;1597
controller 69;81;79;1618
controller 98;92;80;1638
controller 98;92;92;1884
controller 98;92;92;1884
controller 98;92;92;1884
controller 98;92;92;1884
controller 98;92;92;1884
controller 98;92;97;1987
controller 98;92;97;1987
controller 98;92;97;1987
controller 98;92;95;1946
controller 98;92;93;1905
controller 98;92;87;1782
controller 98;92;87;1782
controller 98;92;86;1761
controller 98;92;84;1720
controller 98;92;84;1720
controller 98;92;89;1823
controller 98;92;90;1843
controller 98;92;85;1741
controller 98;92;81;1659
controller 98;92;88;1802
controller 98;92;87;1782
controller 98;92;85;1741
controller 98;92;85;1741
controller 98;92;85;1741
controller 98;91;84;1720
controller 98;91;85;1741
controller 98;91;85;1741
controller 98;91;85;1741
controller 98;91;83;1700
controller 98;91;78;1597
controller 98;91;79;1618
controller 98;91;79;1618
controller 98;91;80;1638
controller 98;91;81;1659
controller 98;91;73;1495
controller 98;91;73;1495
controller 98;91;78;1597
controller 98;91;81;1659
controller 98;91;81;1659
controller 98;91;81;1659
controller 98;91;86;1761
controller 98;91;86;1761
controller 98;90;86;1761
controller 98;90;77;1577
controller 98;90;79;1618
controller 98;90;79;1618
controller 98;90;79;1618
controller 98;90;73;1495
controller 98;90;78;1597
controller 98;90;78;1597
controller 98;90;80;1638
controller 98;90;80;1638
controller 98;90;62;1270
controller 98;90;63;1290
controller 98;90;63;1290
controller 98;90;63;1290
controller 98;90;72;1475
controller 98;90;74;1516
controller 98;90;73;1495
controller 98;90;80;1638
controller 98;89;77;1577
controller 98;89;81;1659
controller 98;88;81;1659
controller 98;88;78;1597
controller 98;88;76;1556
controller 98;88;76;1556
controller 98;88;76;1556
controller 98;88;80;1638
controller 98;88;80;1638
controller 98;88;80;1638
controller 98;88;78;1597
controller 98;88;82;1679
controller 98;88;79;1618
controller 98;88;81;1659
controller 98;88;81;1659
controller 98;88;81;1659
controller 98;88;71;1454
controller 98;88;71;1454
controller 98;88;72;1475
controller 98;88;79;1618
controller 98;88;79;1618
controller 98;87;79;1618
controller 98;87;82;1679
controller 98;87;78;1597
controller 98;87;83;1700
controller 98;87;83;1700
controller 98;87;83;1700
controller 98;87;84;1720
controller 98;87;84;1720
controller 98;87;79;1618
controller 98;87;79;1618
controller 98;87;79;1618
controller 98;87;83;1700
controller 98;86;81;1659
controller 98;86;78;1597
controller 98;86;79;1618
controller 98;86;82;1679
controller 98;86;82;1679
controller 98;86;79;1618
controller 98;86;84;1720
controller 98;86;80;1638
controller 98;86;76;1556
controller 98;86;76;1556
controller 98;86;77;1577
controller 98;86;77;1577
controller 98;85;78;1597
controller 98;85;78;1597
controller 98;85;80;1638
controller 98;85;80;1638
controller 98;85;80;1638
controller 98;85;80;1638
controller 98;85;85;1741
controller 98;85;85;1741
controller 98;85;85;1741
controller 98;85;87;1782
controller 98;85;87;1782
controller 98;84;85;1741
controller 69;74;83;1700
controller 69;73;83;1700
controller 69;73;83;1700
controller 69;73;83;1700
controller 69;73;67;1372
controller 69;73;67;1372
controller 69;72;72;1475
controller 69;72;83;1700
controller 69;72;83;1700
controller 69;72;83;1700
controller 69;72;83;1700
controller 69;72;83;1700
controller 69;71;83;1700
controller 69;71;83;1700
controller 69;71;83;1700
controller 65;70;98;2007
controller 65;70;90;1843
controller 98;83;75;1536
controller 98;83;75;1536
controller 98;83;75;1536
controller 69;70;82;1679
controller 69;70;81;1659
controller 69;70;75;1536
controller 69;70;75;1536
controller 69;70;75;1536
controller 69;70;82;1679
controller 69;70;74;1516
controller 69;70;80;1638
controller 69;70;80;1638
controller 69;70;80;1638
controller 69;70;82;1679
controller 69;70;82;1679
controller 65;69;81;1659
controller 65;69;81;1659
controller 65;69;80;1638
controller 98;81;75;1536
controller 98;81;77;1577
