controller;battery;memory_avaliable;total_memory_avaliable
controller 1;87;95;973
controller 1;87;95;973
controller 1;87;92;942
controller 1;87;92;942
controller 1;87;92;942
controller 54;99;60;1229
controller 54;99;60;1229
controller 54;99;60;1229
controller 54;99;60;1229
controller 54;99;60;1229
controller 54;99;60;1229
controller 54;99;63;1290
controller 54;99;73;1495
controller 54;99;78;1597
controller 54;99;79;1618
controller 6;70;54;1106
controller 6;70;54;1106
controller 6;70;54;1106
controller 6;70;55;1126
controller 6;70;61;1249
controller 6;70;61;1249
controller 6;70;59;1208
controller 6;70;59;1208
controller 6;70;63;1290
controller 6;70;63;1290
controller 39;99;39;399
controller 39;98;39;399
controller 60;65;79;1618
controller 60;65;81;1659
controller 60;65;78;1597
controller 63;91;80;819
controller 63;90;80;819
controller 63;89;80;819
controller 63;89;80;819
controller 63;89;80;819
controller 63;87;80;819
controller 63;87;80;819
controller 63;87;88;901
controller 63;87;87;891
controller 63;86;87;891
controller 63;86;87;891
controller 63;86;87;891
controller 63;85;87;891
controller 63;85;81;829
controller 99;84;81;829
controller 99;84;82;840
controller 99;84;82;840
controller 54;98;81;1659
controller 54;98;81;1659
controller 54;98;76;1556
controller 54;98;76;1556
controller 54;98;92;1884
controller 54;98;89;1823
controller 54;98;89;1823
controller 54;98;89;1823
controller 63;85;88;901
controller 63;84;88;901
controller 39;96;88;901
controller 39;96;88;901
controller 39;96;88;901
controller 90;90;81;829
controller 90;90;81;829
controller 90;89;81;829
controller 54;98;77;1577
controller 54;98;83;1700
controller 54;98;83;1700
controller 54;98;83;1700
controller 54;98;83;1700
controller 54;98;79;1618
controller 39;95;83;850
controller 61;81;84;1720
controller 61;81;77;1577
controller 61;81;77;1577
controller 61;81;77;1577
controller 61;81;77;1577
controller 61;81;77;1577
controller 61;81;87;1782
controller 61;81;87;1782
controller 61;80;87;1782
controller 54;98;85;1741
controller 54;98;83;1700
controller 54;98;72;1475
controller 54;98;69;1413
controller 54;98;69;1413
controller 54;98;69;1413
controller 54;98;69;1413
controller 39;93;86;881
controller 39;93;96;983
controller 39;92;94;963
controller 39;92;94;963
controller 66;84;81;829
controller 66;84;79;809
controller 66;84;79;809
controller 66;83;81;829
controller 66;83;74;758
controller 63;79;85;870
controller 63;79;85;870
controller 54;98;80;1638
controller 54;98;80;1638
controller 54;98;80;1638
controller 54;98;80;1638
controller 54;98;80;1638
controller 54;98;80;1638
controller 54;98;80;1638
controller 54;98;87;1782
controller 54;98;87;1782
controller 54;98;87;1782
controller 54;98;77;1577
controller 54;98;77;1577
controller 54;98;77;1577
controller 54;98;80;1638
controller 54;98;83;1700
controller 54;98;81;1659
controller 54;98;81;1659
controller 54;98;81;1659
controller 39;89;83;850
controller 39;89;83;850
controller 54;97;81;1659
controller 54;97;81;1659
controller 54;97;82;1679
controller 54;97;69;1413
controller 54;97;69;1413
controller 54;97;73;1495
controller 54;97;71;1454
controller 54;97;75;1536
controller 60;53;79;1618
controller 60;53;82;1679
controller 6;61;72;1475
controller 6;61;72;1475
controller 90;85;80;819
controller 90;85;83;850
controller 1;84;84;860
controller 1;84;80;819
controller 1;84;80;819
controller 1;84;80;819
controller 1;84;82;840
controller 1;84;82;840
controller 54;97;81;1659
controller 54;97;77;1577
controller 54;97;77;1577
controller 54;97;83;1700
controller 54;97;77;1577
controller 54;97;77;1577
controller 54;97;71;1454
controller 54;97;71;1454
controller 54;97;76;1556
controller 54;97;78;1597
controller 54;97;81;1659
controller 54;97;81;1659
controller 54;97;77;1577
controller 1;81;81;829
controller 1;80;76;778
controller 66;79;90;922
controller 66;79;88;901
controller 66;79;88;901
controller 80;70;81;829
controller 80;70;90;922
controller 90;85;87;891
controller 90;85;87;891
controller 90;84;88;901
controller 90;84;88;901
controller 90;84;74;758
controller 90;83;75;768
controller 6;60;82;1679
controller 6;60;82;1679
controller 54;96;80;1638
controller 54;95;80;1638
controller 54;95;79;1618
controller 54;95;82;1679
controller 54;95;82;1679
controller 54;95;82;1679
controller 54;95;82;1679
controller 54;95;79;1618
controller 54;95;83;1700
controller 54;95;83;1700
controller 54;95;83;1700
controller 66;77;91;932
controller 66;77;86;881
controller 66;77;86;881
controller 66;77;85;870
controller 66;76;85;870
controller 66;76;85;870
controller 66;75;85;870
controller 66;75;86;881
controller 66;75;83;850
controller 66;75;83;850
controller 66;75;83;850
controller 66;75;83;850
controller 54;94;82;1679
controller 54;94;82;1679
controller 54;93;83;1700
controller 54;93;82;1679
controller 54;93;81;1659
controller 54;93;82;1679
controller 54;93;81;1659
controller 54;93;73;1495
controller 54;93;72;1475
controller 54;93;72;1475
controller 54;93;72;1475
controller 54;93;74;1516
controller 54;93;74;1516
controller 54;93;79;1618
controller 54;93;79;1618
controller 54;93;81;1659
controller 54;93;71;1454
controller 54;93;71;1454
controller 54;93;71;1454
controller 54;93;73;1495
controller 54;93;73;1495
controller 54;92;77;1577
controller 54;92;84;1720
controller 54;92;83;1700
controller 54;92;72;1475
controller 54;92;72;1475
controller 54;92;72;1475
controller 54;92;71;1454
controller 54;92;73;1495
controller 54;92;73;1495
controller 54;92;68;1393
controller 54;92;69;1413
controller 54;92;69;1413
controller 54;92;63;1290
controller 54;92;63;1290
controller 54;92;63;1290
