controller;battery;memory_avaliable;total_memory_avaliable
controller 55;69;64;1311
controller 55;69;64;1311
controller 55;69;68;1393
controller 55;69;75;1536
controller 55;69;78;1597
controller 55;69;78;1597
controller 55;68;78;1597
controller 55;68;82;1679
controller 55;68;82;1679
controller 55;68;80;1638
controller 55;68;80;1638
controller 55;68;86;1761
controller 55;68;86;1761
controller 55;68;85;1741
controller 55;68;74;1516
controller 55;68;74;1516
controller 55;68;75;1536
controller 55;68;75;1536
controller 55;68;68;1393
controller 43;58;84;1720
controller 43;58;84;1720
controller 43;58;84;1720
controller 43;58;84;1720
controller 43;58;84;1720
controller 43;58;86;1761
controller 43;58;86;1761
controller 43;58;86;1761
controller 43;58;85;1741
controller 43;58;77;1577
controller 48;98;59;1208
controller 48;97;59;1208
controller 48;97;63;1290
controller 48;97;63;1290
controller 48;97;63;1290
controller 55;68;83;1700
controller 55;68;81;1659
controller 55;68;81;1659
controller 55;68;81;1659
controller 55;68;81;1659
controller 55;68;81;1659
controller 55;68;81;1659
controller 55;68;80;1638
controller 55;68;80;1638
controller 55;68;80;1638
controller 55;68;80;1638
controller 55;68;91;1864
controller 55;68;90;1843
controller 55;68;90;1843
controller 55;68;89;1823
controller 55;68;89;1823
controller 69;54;79;1618
controller 69;54;79;1618
controller 69;53;79;1618
controller 69;53;79;1618
controller 69;53;82;1679
controller 69;53;82;1679
controller 69;53;82;1679
controller 43;58;75;1536
controller 43;58;59;1208
controller 43;58;59;1208
controller 43;58;59;1208
controller 43;58;59;1208
controller 43;58;59;1208
controller 86;76;58;297
controller 86;76;53;271
controller 86;76;53;271
controller 86;75;53;271
controller 66;86;84;860
controller 66;86;84;860
controller 66;86;82;840
controller 66;86;72;737
controller 66;86;72;737
controller 66;86;72;737
controller 66;86;72;737
controller 66;86;72;737
controller 66;86;73;748
controller 66;86;73;748
controller 66;86;75;768
controller 66;86;75;768
controller 66;86;81;829
controller 24;71;82;840
controller 24;70;95;973
controller 24;70;95;973
controller 24;70;95;973
controller 69;51;77;1577
controller 69;51;77;1577
controller 69;51;83;1700
controller 43;57;65;1331
controller 43;57;65;1331
controller 43;57;76;1556
controller 43;57;76;1556
controller 43;57;76;1556
controller 43;57;82;1679
controller 43;57;82;1679
controller 66;85;85;870
controller 66;85;83;850
controller 66;85;85;870
controller 66;85;85;870
controller 66;85;85;870
controller 66;85;86;881
controller 66;85;85;870
controller 66;85;83;850
controller 66;85;82;840
controller 66;85;79;809
controller 66;84;80;819
controller 66;84;80;819
controller 66;84;80;819
controller 66;84;80;819
controller 66;84;80;819
controller 66;84;80;819
controller 66;84;80;819
controller 66;84;84;860
controller 66;84;86;881
controller 70;71;81;1659
controller 70;71;81;1659
controller 70;71;81;1659
controller 70;71;81;1659
controller 70;71;81;1659
controller 70;71;81;1659
controller 70;70;81;1659
controller 70;70;82;1679
controller 70;70;82;1679
controller 70;69;82;1679
controller 70;69;82;1679
controller 70;68;79;1618
controller 70;68;79;1618
controller 70;68;79;1618
controller 70;67;80;1638
controller 70;66;93;1905
controller 70;66;93;1905
controller 70;66;92;1884
controller 69;47;75;1536
controller 69;47;77;1577
controller 69;47;77;1577
controller 69;47;69;1413
controller 55;66;88;1802
controller 55;66;88;1802
controller 55;65;88;1802
controller 55;65;87;1782
controller 55;65;84;1720
controller 55;65;72;1475
controller 55;65;72;1475
controller 55;65;72;1475
controller 55;65;84;1720
controller 55;65;73;1495
controller 55;65;73;1495
controller 55;65;80;1638
controller 55;65;81;1659
controller 55;65;72;1475
controller 55;65;76;1556
controller 55;65;76;1556
controller 55;65;76;1556
controller 70;65;81;1659
controller 70;65;81;1659
controller 70;65;81;1659
controller 70;65;83;1700
controller 70;65;83;1700
controller 70;65;78;1597
controller 70;65;78;1597
controller 70;65;78;1597
controller 70;65;78;1597
controller 70;64;78;1597
controller 70;64;78;1597
controller 70;64;79;1618
controller 70;64;79;1618
controller 70;64;80;1638
controller 70;64;81;1659
controller 70;64;81;1659
controller 70;64;81;1659
controller 70;64;80;1638
controller 70;64;80;1638
controller 70;63;81;1659
controller 70;63;81;1659
controller 70;63;81;1659
controller 70;63;81;1659
controller 70;63;80;1638
controller 70;63;91;1864
controller 70;63;91;1864
controller 70;63;89;1823
controller 70;63;89;1823
controller 70;63;89;1823
controller 70;63;85;1741
controller 70;63;85;1741
controller 70;63;85;1741
controller 70;63;85;1741
controller 70;63;85;1741
controller 70;63;87;1782
controller 70;63;69;1413
controller 70;63;69;1413
controller 70;62;69;1413
controller 70;62;69;1413
controller 70;62;69;1413
controller 70;62;69;1413
controller 70;62;70;1434
controller 70;62;70;1434
controller 70;62;70;1434
controller 70;62;70;1434
controller 70;62;75;1536
controller 70;62;78;1597
controller 70;62;79;1618
controller 70;62;79;1618
controller 70;62;79;1618
controller 70;62;80;1638
controller 70;62;80;1638
controller 70;62;80;1638
controller 70;61;81;1659
controller 70;61;76;1556
controller 70;61;78;1597
controller 70;61;78;1597
controller 70;61;78;1597
controller 70;61;85;1741
controller 70;61;81;1659
controller 70;61;80;1638
controller 70;61;83;1700
controller 70;61;83;1700
controller 70;61;83;1700
controller 70;61;83;1700
controller 70;60;73;1495
controller 70;60;73;1495
controller 17;81;86;440
controller 17;81;84;430
controller 17;81;84;430
controller 17;81;89;456
controller 17;81;89;456
controller 17;81;89;456
controller 17;81;89;456
controller 69;36;88;1802
controller 69;36;89;1823
controller 69;36;89;1823
controller 69;36;88;1802
controller 69;36;88;1802
controller 69;36;86;1761
controller 69;36;78;1597
controller 69;36;78;1597
controller 69;36;82;1679
controller 69;36;83;1700
controller 69;36;79;1618
controller 66;73;78;799
controller 66;73;79;809
controller 66;73;79;809
controller 66;73;82;840
controller 66;73;82;840
controller 17;80;84;430
controller 17;80;62;317
controller 17;80;62;317
controller 17;80;66;338
controller 17;79;66;338
controller 17;79;66;338
controller 17;79;66;338
controller 17;79;66;338
controller 17;79;67;343
controller 17;79;67;343
controller 17;79;63;323
controller 80;54;63;1290
controller 80;54;63;1290
controller 80;53;66;1352
controller 80;53;66;1352
controller 80;52;83;1700
controller 80;52;86;1761
controller 80;51;86;1761
controller 80;51;86;1761
controller 80;51;86;1761
controller 70;58;73;1495
controller 70;58;73;1495
controller 70;58;73;1495
controller 70;58;73;1495
controller 70;58;79;1618
controller 70;58;80;1638
controller 70;58;86;1761
controller 70;58;86;1761
controller 70;58;84;1720
controller 70;58;79;1618
controller 70;58;89;1823
controller 70;58;93;1905
controller 70;58;93;1905
controller 70;58;93;1905
controller 70;58;93;1905
controller 70;58;93;1905
controller 70;58;93;1905
controller 70;58;94;1925
controller 70;58;80;1638
controller 70;58;83;1700
controller 70;58;83;1700
controller 70;58;83;1700
controller 70;58;83;1700
controller 70;58;83;1700
controller 70;58;83;1700
controller 70;58;83;1700
controller 70;58;83;1700
controller 70;58;83;1700
controller 70;58;80;1638
controller 70;58;80;1638
controller 66;69;83;850
controller 66;68;83;850
controller 66;68;83;850
controller 66;68;83;850
controller 66;68;80;819
controller 69;36;89;1823
controller 69;35;85;1741
controller 69;34;85;1741
controller 69;33;84;1720
controller 69;33;80;1638
controller 69;33;82;1679
controller 69;33;82;1679
