round;wD;wB;wM;wS;wP
596;0.117;0.35;0.233;0.15;0.15
597;0.1165;0.35;0.2335;0.15;0.15
598;0.1165;0.35;0.2335;0.15;0.15
599;0.117;0.35;0.233;0.15;0.15
600;0.117;0.35;0.233;0.15;0.15
601;0.117;0.35;0.233;0.15;0.15
602;0.117;0.35;0.233;0.15;0.15
603;0.117;0.35;0.233;0.15;0.15
604;0.117;0.35;0.233;0.15;0.15
605;0.116;0.35;0.234;0.15;0.15
606;0.115;0.35;0.235;0.15;0.15
607;0.116;0.35;0.234;0.15;0.15
608;0.115;0.35;0.235;0.15;0.15
609;0.114;0.35;0.236;0.15;0.15
610;0.114;0.35;0.236;0.15;0.15
611;0.115;0.35;0.235;0.15;0.15
612;0.1155;0.35;0.2345;0.15;0.15
613;0.115;0.35;0.235;0.15;0.15
614;0.1155;0.35;0.2345;0.15;0.15
615;0.117;0.35;0.233;0.15;0.15
616;0.117;0.35;0.233;0.15;0.15
617;0.116;0.35;0.234;0.15;0.15
618;0.117;0.35;0.233;0.15;0.15
619;0.1175;0.35;0.2325;0.15;0.15
620;0.1185;0.35;0.2315;0.15;0.15
621;0.119;0.35;0.231;0.15;0.15
622;0.1185;0.35;0.2315;0.15;0.15
623;0.1185;0.35;0.2315;0.15;0.15
624;0.1185;0.35;0.2315;0.15;0.15
625;0.1195;0.35;0.2305;0.15;0.15
626;0.117;0.35;0.233;0.15;0.15
627;0.1155;0.35;0.2345;0.15;0.15
628;0.115;0.35;0.235;0.15;0.15
629;0.1165;0.35;0.2335;0.15;0.15
630;0.117;0.35;0.233;0.15;0.15
631;0.117;0.35;0.233;0.15;0.15
632;0.117;0.35;0.233;0.15;0.15
633;0.1165;0.35;0.2335;0.15;0.15
634;0.118;0.35;0.232;0.15;0.15
635;0.1175;0.35;0.2325;0.15;0.15
636;0.117;0.35;0.233;0.15;0.15
637;0.1175;0.35;0.2325;0.15;0.15
638;0.117;0.35;0.233;0.15;0.15
639;0.116;0.35;0.234;0.15;0.15
640;0.1155;0.35;0.2345;0.15;0.15
641;0.1155;0.35;0.2345;0.15;0.15
642;0.116;0.35;0.234;0.15;0.15
643;0.117;0.35;0.233;0.15;0.15
644;0.117;0.35;0.233;0.15;0.15
645;0.1175;0.35;0.2325;0.15;0.15
646;0.1175;0.35;0.2325;0.15;0.15
647;0.1165;0.35;0.2335;0.15;0.15
648;0.1165;0.35;0.2335;0.15;0.15
649;0.117;0.35;0.233;0.15;0.15
650;0.117;0.35;0.233;0.15;0.15
651;0.117;0.35;0.233;0.15;0.15
652;0.116;0.35;0.234;0.15;0.15
653;0.1155;0.35;0.2345;0.15;0.15
654;0.116;0.35;0.234;0.15;0.15
655;0.1165;0.35;0.2335;0.15;0.15
656;0.1155;0.35;0.2345;0.15;0.15
657;0.115;0.35;0.235;0.15;0.15
658;0.115;0.35;0.235;0.15;0.15
659;0.115;0.35;0.235;0.15;0.15
660;0.115;0.35;0.235;0.15;0.15
661;0.1155;0.35;0.2345;0.15;0.15
662;0.114;0.35;0.236;0.15;0.15
663;0.115;0.35;0.235;0.15;0.15
664;0.1155;0.35;0.2345;0.15;0.15
665;0.1155;0.35;0.2345;0.15;0.15
666;0.1165;0.35;0.2335;0.15;0.15
667;0.117;0.35;0.233;0.15;0.15
668;0.1175;0.35;0.2325;0.15;0.15
669;0.1175;0.35;0.2325;0.15;0.15
670;0.118;0.35;0.232;0.15;0.15
671;0.119;0.35;0.231;0.15;0.15
672;0.12;0.35;0.23;0.15;0.15
673;0.12;0.35;0.23;0.15;0.15
674;0.119;0.35;0.231;0.15;0.15
675;0.1185;0.35;0.2315;0.15;0.15
676;0.118;0.35;0.232;0.15;0.15
677;0.117;0.35;0.233;0.15;0.15
678;0.116;0.35;0.234;0.15;0.15
679;0.117;0.35;0.233;0.15;0.15
680;0.118;0.35;0.232;0.15;0.15
681;0.118;0.35;0.232;0.15;0.15
682;0.1175;0.35;0.2325;0.15;0.15
683;0.117;0.35;0.233;0.15;0.15
684;0.1175;0.35;0.2325;0.15;0.15
685;0.117;0.35;0.233;0.15;0.15
686;0.1165;0.35;0.2335;0.15;0.15
687;0.116;0.35;0.234;0.15;0.15
688;0.116;0.35;0.234;0.15;0.15
689;0.1165;0.35;0.2335;0.15;0.15
690;0.1165;0.35;0.2335;0.15;0.15
691;0.1175;0.35;0.2325;0.15;0.15
692;0.118;0.35;0.232;0.15;0.15
693;0.118;0.35;0.232;0.15;0.15
694;0.118;0.35;0.232;0.15;0.15
695;0.118;0.35;0.232;0.15;0.15
696;0.1175;0.35;0.2325;0.15;0.15
697;0.1175;0.35;0.2325;0.15;0.15
698;0.1175;0.35;0.2325;0.15;0.15
699;0.117;0.35;0.233;0.15;0.15
700;0.1165;0.35;0.2335;0.15;0.15
701;0.1165;0.35;0.2335;0.15;0.15
702;0.116;0.35;0.234;0.15;0.15
703;0.1155;0.35;0.2345;0.15;0.15
704;0.116;0.35;0.234;0.15;0.15
705;0.1165;0.35;0.2335;0.15;0.15
706;0.1165;0.35;0.2335;0.15;0.15
707;0.1165;0.35;0.2335;0.15;0.15
708;0.116;0.35;0.234;0.15;0.15
709;0.117;0.35;0.233;0.15;0.15
710;0.118;0.35;0.232;0.15;0.15
711;0.117;0.35;0.233;0.15;0.15
712;0.116;0.35;0.234;0.15;0.15
713;0.116;0.35;0.234;0.15;0.15
714;0.117;0.35;0.233;0.15;0.15
715;0.1175;0.35;0.2325;0.15;0.15
716;0.118;0.35;0.232;0.15;0.15
717;0.118;0.35;0.232;0.15;0.15
718;0.1185;0.35;0.2315;0.15;0.15
719;0.118;0.35;0.232;0.15;0.15
720;0.118;0.35;0.232;0.15;0.15
721;0.118;0.35;0.232;0.15;0.15
722;0.118;0.35;0.232;0.15;0.15
723;0.1175;0.35;0.2325;0.15;0.15
724;0.116;0.35;0.234;0.15;0.15
725;0.1165;0.35;0.2335;0.15;0.15
726;0.1165;0.35;0.2335;0.15;0.15
727;0.1165;0.35;0.2335;0.15;0.15
728;0.1165;0.35;0.2335;0.15;0.15
729;0.1165;0.35;0.2335;0.15;0.15
730;0.1165;0.35;0.2335;0.15;0.15
731;0.117;0.35;0.233;0.15;0.15
732;0.117;0.35;0.233;0.15;0.15
733;0.1175;0.35;0.2325;0.15;0.15
734;0.118;0.35;0.232;0.15;0.15
735;0.118;0.35;0.232;0.15;0.15
736;0.117;0.35;0.233;0.15;0.15
737;0.101;0.35;0.249;0.15;0.15
738;0.117;0.35;0.233;0.15;0.15
739;0.1165;0.35;0.2335;0.15;0.15
740;0.116;0.35;0.234;0.15;0.15
741;0.1155;0.35;0.2345;0.15;0.15
742;0.116;0.35;0.234;0.15;0.15
743;0.1175;0.35;0.2325;0.15;0.15
744;0.118;0.35;0.232;0.15;0.15
745;0.117;0.35;0.233;0.15;0.15
746;0.1155;0.35;0.2345;0.15;0.15
747;0.116;0.35;0.234;0.15;0.15
748;0.115;0.35;0.235;0.15;0.15
749;0.1145;0.35;0.2355;0.15;0.15
750;0.116;0.35;0.234;0.15;0.15
751;0.1165;0.35;0.2335;0.15;0.15
752;0.117;0.35;0.233;0.15;0.15
753;0.117;0.35;0.233;0.15;0.15
754;0.1015;0.35;0.2485;0.15;0.15
755;0.117;0.35;0.233;0.15;0.15
756;0.1175;0.35;0.2325;0.15;0.15
757;0.117;0.35;0.233;0.15;0.15
758;0.1165;0.35;0.2335;0.15;0.15
759;0.1175;0.35;0.2325;0.15;0.15
760;0.117;0.35;0.233;0.15;0.15
761;0.1165;0.35;0.2335;0.15;0.15
762;0.1165;0.35;0.2335;0.15;0.15
763;0.1165;0.35;0.2335;0.15;0.15
764;0.1165;0.35;0.2335;0.15;0.15
765;0.117;0.35;0.233;0.15;0.15
766;0.1175;0.35;0.2325;0.15;0.15
767;0.117;0.35;0.233;0.15;0.15
768;0.1175;0.35;0.2325;0.15;0.15
769;0.118;0.35;0.232;0.15;0.15
770;0.1185;0.35;0.2315;0.15;0.15
771;0.1185;0.35;0.2315;0.15;0.15
772;0.1175;0.35;0.2325;0.15;0.15
773;0.1175;0.35;0.2325;0.15;0.15
774;0.1015;0.35;0.2485;0.15;0.15
775;0.117;0.35;0.233;0.15;0.15
776;0.117;0.35;0.233;0.15;0.15
777;0.1175;0.35;0.2325;0.15;0.15
778;0.1175;0.35;0.2325;0.15;0.15
779;0.1175;0.35;0.2325;0.15;0.15
780;0.117;0.35;0.233;0.15;0.15
781;0.117;0.35;0.233;0.15;0.15
782;0.1165;0.35;0.2335;0.15;0.15
783;0.116;0.35;0.234;0.15;0.15
784;0.1155;0.35;0.2345;0.15;0.15
785;0.116;0.35;0.234;0.15;0.15
786;0.115;0.35;0.235;0.15;0.15
787;0.115;0.35;0.235;0.15;0.15
788;0.115;0.35;0.235;0.15;0.15
789;0.1155;0.35;0.2345;0.15;0.15
790;0.1145;0.35;0.2355;0.15;0.15
791;0.1145;0.35;0.2355;0.15;0.15
792;0.1155;0.35;0.2345;0.15;0.15
793;0.115;0.35;0.235;0.15;0.15
794;0.1155;0.35;0.2345;0.15;0.15
795;0.1165;0.35;0.2335;0.15;0.15
796;0.116;0.35;0.234;0.15;0.15
797;0.1175;0.35;0.2325;0.15;0.15
798;0.118;0.35;0.232;0.15;0.15
799;0.118;0.35;0.232;0.15;0.15
800;0.1175;0.35;0.2325;0.15;0.15
801;0.1165;0.35;0.2335;0.15;0.15
802;0.116;0.35;0.234;0.15;0.15
803;0.1155;0.35;0.2345;0.15;0.15
804;0.116;0.35;0.234;0.15;0.15
805;0.1165;0.35;0.2335;0.15;0.15
806;0.1155;0.35;0.2345;0.15;0.15
807;0.1155;0.35;0.2345;0.15;0.15
808;0.1155;0.35;0.2345;0.15;0.15
809;0.116;0.35;0.234;0.15;0.15
810;0.1165;0.35;0.2335;0.15;0.15
811;0.1165;0.35;0.2335;0.15;0.15
812;0.116;0.35;0.234;0.15;0.15
813;0.116;0.35;0.234;0.15;0.15
814;0.116;0.35;0.234;0.15;0.15
815;0.1155;0.35;0.2345;0.15;0.15
816;0.1165;0.35;0.2335;0.15;0.15
817;0.116;0.35;0.234;0.15;0.15
818;0.116;0.35;0.234;0.15;0.15
819;0.1165;0.35;0.2335;0.15;0.15
820;0.117;0.35;0.233;0.15;0.15
821;0.1165;0.35;0.2335;0.15;0.15
822;0.1165;0.35;0.2335;0.15;0.15
823;0.116;0.35;0.234;0.15;0.15
824;0.1155;0.35;0.2345;0.15;0.15
825;0.115;0.35;0.235;0.15;0.15
826;0.115;0.35;0.235;0.15;0.15
827;0.1145;0.35;0.2355;0.15;0.15
828;0.1135;0.35;0.2365;0.15;0.15
829;0.113;0.35;0.237;0.15;0.15
830;0.113;0.35;0.237;0.15;0.15
831;0.115;0.35;0.235;0.15;0.15
832;0.115;0.35;0.235;0.15;0.15
833;0.1155;0.35;0.2345;0.15;0.15
834;0.116;0.35;0.234;0.15;0.15
835;0.1165;0.35;0.2335;0.15;0.15
836;0.1165;0.35;0.2335;0.15;0.15
837;0.116;0.35;0.234;0.15;0.15
838;0.1155;0.35;0.2345;0.15;0.15
839;0.116;0.35;0.234;0.15;0.15
840;0.1155;0.35;0.2345;0.15;0.15
841;0.1155;0.35;0.2345;0.15;0.15
842;0.1155;0.35;0.2345;0.15;0.15
843;0.115;0.35;0.235;0.15;0.15
844;0.114;0.35;0.236;0.15;0.15
845;0.1155;0.35;0.2345;0.15;0.15
846;0.1165;0.35;0.2335;0.15;0.15
847;0.116;0.35;0.234;0.15;0.15
848;0.116;0.35;0.234;0.15;0.15
849;0.115;0.35;0.235;0.15;0.15
850;0.1155;0.35;0.2345;0.15;0.15
851;0.116;0.35;0.234;0.15;0.15
852;0.116;0.35;0.234;0.15;0.15
853;0.117;0.35;0.233;0.15;0.15
854;0.116;0.35;0.234;0.15;0.15
855;0.116;0.35;0.234;0.15;0.15
856;0.1155;0.35;0.2345;0.15;0.15
857;0.1155;0.35;0.2345;0.15;0.15
858;0.115;0.35;0.235;0.15;0.15
859;0.116;0.35;0.234;0.15;0.15
860;0.1155;0.35;0.2345;0.15;0.15
861;0.1155;0.35;0.2345;0.15;0.15
862;0.1155;0.35;0.2345;0.15;0.15
863;0.117;0.35;0.233;0.15;0.15
864;0.117;0.35;0.233;0.15;0.15
865;0.117;0.35;0.233;0.15;0.15
866;0.118;0.35;0.232;0.15;0.15
867;0.1175;0.35;0.2325;0.15;0.15
868;0.117;0.35;0.233;0.15;0.15
869;0.1185;0.35;0.2315;0.15;0.15
870;0.118;0.35;0.232;0.15;0.15
871;0.1175;0.35;0.2325;0.15;0.15
872;0.1175;0.35;0.2325;0.15;0.15
873;0.1165;0.35;0.2335;0.15;0.15
874;0.1165;0.35;0.2335;0.15;0.15
875;0.1165;0.35;0.2335;0.15;0.15
876;0.117;0.35;0.233;0.15;0.15
877;0.1165;0.35;0.2335;0.15;0.15
878;0.1165;0.35;0.2335;0.15;0.15
879;0.1165;0.35;0.2335;0.15;0.15
880;0.1165;0.35;0.2335;0.15;0.15
881;0.1175;0.35;0.2325;0.15;0.15
882;0.1165;0.35;0.2335;0.15;0.15
883;0.116;0.35;0.234;0.15;0.15
884;0.1165;0.35;0.2335;0.15;0.15
885;0.116;0.35;0.234;0.15;0.15
886;0.116;0.35;0.234;0.15;0.15
887;0.116;0.35;0.234;0.15;0.15
888;0.117;0.35;0.233;0.15;0.15
889;0.1175;0.35;0.2325;0.15;0.15
890;0.118;0.35;0.232;0.15;0.15
891;0.1175;0.35;0.2325;0.15;0.15
892;0.118;0.35;0.232;0.15;0.15
893;0.1175;0.35;0.2325;0.15;0.15
894;0.118;0.35;0.232;0.15;0.15
895;0.1175;0.35;0.2325;0.15;0.15
896;0.119;0.35;0.231;0.15;0.15
897;0.119;0.35;0.231;0.15;0.15
898;0.119;0.35;0.231;0.15;0.15
899;0.1195;0.35;0.2305;0.15;0.15
900;0.1185;0.35;0.2315;0.15;0.15
