controller;cause;time_failure
53;NO_CONNECTION;547
83;NO_CONNECTION;534
53;NO_CONNECTION;520
67;NO_CONNECTION;513
96;NO_CONNECTION;513
88;NO_CONNECTION;507
57;NO_CONNECTION;504
84;NO_CONNECTION;514
91;NO_CONNECTION;520
32;NO_CONNECTION;509
