controller;cause;time_failure
56;NO_CONNECTION;556
56;NO_CONNECTION;532
97;NO_CONNECTION;530
44;NO_CONNECTION;528
97;NO_CONNECTION;526
97;NO_CONNECTION;519
44;NO_CONNECTION;510
44;NO_CONNECTION;515
