controller;cause;time_failure
26;NO_CONNECTION;539
23;NO_CONNECTION;530
51;NO_CONNECTION;528
51;NO_CONNECTION;521
51;NO_CONNECTION;524
67;NO_CONNECTION;503
89;NO_CONNECTION;506
