X;Y
1;7.331623517847774E-6
2;3.637978807091713E-12
3;5.125555535556714E-11
4;1.3876677584789832E-12
5;6.634692795159935E-13
6;0.0
7;6.313263892776533E-7
8;0.0
9;0.0
10;3.0262459205232517E-12
11;0.0
12;0.0
13;2.5921720325783326E-10
14;4.015049805738968E-6
15;7.354314852658916E-7
16;1.7732001541537201E-6
17;2.402854124339271E-6
18;2.3394442227875345E-7
19;0.0
20;1.0437577468991321E-9
21;0.0
22;0.0
23;0.0
24;5.4457380160854996E-8
25;0.0
26;4.0150416324991056E-10
27;0.0
28;7.242638577764637E-7
29;7.308594140997826E-8
30;1.6208479003410048E-11
31;1.109453051206799E-6
32;5.066597801306472E-6
33;2.078760985568806E-8
34;1.99516246857101E-8
35;0.0
36;6.085236810671191E-6
37;0.0
38;7.336567775517722E-8
39;1.582067810090848E-13
40;4.615934316998249E-7
41;0.0
42;0.0
43;1.3779487604281826E-6
44;0.0
45;1.8696984294130914E-8
46;1.970598129119594E-10
47;1.4975926148075303E-6
48;2.930988785010413E-14
49;0.0
50;1.1102230246251565E-16
51;1.319355818263368E-6
52;4.405664810747112E-8
53;0.0
54;1.2480905275946697E-7
55;2.55351295663786E-15
56;6.545652908584998E-11
57;3.2034730423902147E-10
58;2.9176661087149114E-13
59;0.0
60;6.467107960261842E-10
61;1.8885115693478838E-10
62;4.563043126348809E-6
63;3.2843432692386543E-6
64;7.771561172376096E-16
65;9.172105297494682E-10
66;1.4294007983917112E-6
67;6.4711124236893625E-9
68;3.6206686889750372E-6
69;0.0
70;0.0
71;0.0
72;3.8337058573256755E-6
73;0.0
74;1.574405436133297E-6
75;6.558634524367335E-9
76;1.4372392624917296E-6
77;1.3777323726316126E-10
78;0.0
79;4.652156437856547E-10
80;1.3872059612118903E-8
81;3.4144065104158017E-6
82;5.551115123125783E-16
83;1.833875833412435E-7
84;1.54957386389043E-6
85;1.513943603814738E-8
86;0.0
87;1.1491918527894995E-11
88;3.1926683519145627E-12
89;1.8204883494021828E-6
90;0.0
91;0.0
92;9.117251398294002E-11
93;0.0
94;0.0
95;8.733680445516256E-12
96;3.473565497458253E-7
97;0.0
98;5.065365460410476E-9
99;0.0
100;1.7045710196672559E-6
101;5.925970279263559E-6
102;0.0
103;3.188227459816062E-12
104;1.5756772553388032E-9
105;4.1206631806733895E-7
106;5.972408992693801E-6
107;3.2553648323663253E-6
108;0.0
109;4.0895915676131267E-7
110;1.0099032721200274E-10
111;5.700919667450677E-7
112;1.0164681318869384E-9
113;0.0
114;5.784707986067339E-6
115;2.7804220448235384E-7
116;1.2500209776167281E-6
117;0.0
118;6.506617467039177E-11
119;0.0
120;9.864804307868624E-7
121;0.0
122;0.0
123;5.948352921336664E-12
124;2.7253071906985227E-6
125;0.0
126;8.372751758578545E-8
127;4.709274570968702E-6
128;3.8280208503049806E-7
129;0.0
130;2.0412278410875118E-6
131;0.0
132;0.0
133;3.3306690738754696E-16
134;0.0
135;0.0
136;3.4690742589660317E-7
137;7.561131698530232E-8
138;0.0
139;0.0
140;0.0
141;2.5646151868841116E-14
142;4.007197782152083E-6
143;6.190675749806474E-10
144;0.0
145;0.0
146;7.262463963542132E-10
147;6.661338147750939E-16
148;8.49510795042363E-10
149;2.354727524078726E-10
150;9.56804812046741E-8
151;0.0
152;2.2351365203121532E-10
153;1.0073554387313166E-6
154;0.0
155;7.275291480368651E-13
156;6.801448293458634E-12
157;0.0
158;6.275522324017402E-10
159;0.0
160;1.838074137339163E-11
161;0.0
162;0.0
163;5.4524981307757514E-8
164;2.0938947401516472E-6
165;3.459454944731988E-13
166;0.0
167;0.0
168;0.0
169;1.4638793388588311E-7
170;4.797631054764828E-6
171;1.6558409510203376E-7
172;0.0
173;5.4171223062837726E-11
174;0.0
175;2.483360135085988E-6
176;9.992007221626409E-16
177;4.530090348731086E-6
178;0.0
179;5.136384035098196E-6
180;0.0
181;0.0
182;7.2943114657331165E-6
183;7.61024555662182E-6
184;3.873411554833339E-6
185;9.090065367090006E-10
186;2.4113497809619133E-7
187;5.340087261274107E-10
