controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 1;1;100;87;95;14.0;100
controller 54;5;100;99;60;11.0;50
controller 6;15;100;70;54;20.0;100
controller 39;25;100;99;43;18.0;100
controller 60;27;100;65;78;20.0;100
controller 63;30;100;92;80;18.0;100
controller 99;44;100;84;81;20.0;100
controller 54;47;100;98;81;18.0;50
controller 63;55;100;85;88;20.0;100
controller 39;57;100;96;90;19.0;100
controller 90;60;100;90;88;17.0;100
controller 54;63;100;98;77;19.0;50
controller 39;69;100;95;84;19.0;100
controller 61;70;100;81;84;20.0;75
controller 54;79;100;98;90;20.0;50
controller 39;86;100;93;86;20.0;100
controller 66;90;100;84;81;20.0;100
controller 63;95;30;79;80;17.0;100
controller 54;97;100;98;80;20.0;50
controller 39;115;100;89;85;16.0;100
controller 54;117;100;97;81;20.0;50
controller 60;125;100;54;79;20.0;100
controller 6;127;100;61;72;19.0;100
controller 90;129;100;85;80;20.0;100
controller 1;131;100;84;84;20.0;100
controller 54;137;100;97;81;20.0;50
controller 1;150;10;81;81;20.0;100
controller 66;152;100;79;90;20.0;100
controller 80;155;100;70;84;20.0;100
controller 90;157;100;85;87;20.0;100
controller 6;163;100;60;82;19.0;100
controller 54;165;100;96;80;13.0;50
controller 66;176;100;77;95;20.0;100
controller 54;188;100;95;80;16.0;50
controller 90;241;100;81;82;20.0;100
controller 54;245;100;90;62;20.0;50
controller 82;247;100;81;79;20.0;75
controller 13;249;100;54;87;20.0;100
controller 66;256;100;70;84;20.0;100
controller 54;259;100;90;85;20.0;50
controller 90;274;100;80;79;20.0;100
controller 54;289;100;86;81;20.0;50
controller 90;297;100;77;84;20.0;100
controller 66;305;100;70;95;20.0;100
controller 54;307;100;85;80;20.0;50
controller 90;326;100;75;80;20.0;100
controller 1;333;100;75;82;17.0;100
controller 13;335;100;50;80;20.0;100
controller 82;340;100;77;83;18.0;75
controller 54;345;100;81;50;20.0;50
controller 90;350;100;73;89;20.0;100
controller 54;370;100;80;94;19.0;50
controller 90;375;100;70;84;20.0;100
controller 82;380;100;75;92;20.0;75
controller 54;386;100;80;80;20.0;50
controller 90;390;100;70;83;20.0;100
controller 1;395;100;71;87;15.0;100
controller 54;400;100;79;80;20.0;50
controller 90;414;100;69;82;20.0;100
controller 1;416;100;71;81;18.0;100
controller 54;417;100;77;60;20.0;50
controller 82;425;100;72;81;20.0;75
controller 54;433;100;77;81;20.0;50
controller 90;443;100;68;82;20.0;100
controller 54;458;100;76;63;20.0;50
controller 1;465;100;69;82;20.0;100
controller 10;467;100;69;79;20.0;75
controller 90;469;100;67;78;20.0;100
controller 54;475;100;76;67;20.0;50
controller 90;486;100;66;80;20.0;100
controller 54;490;100;74;80;20.0;50
controller 90;526;100;62;82;17.0;100
controller 1;528;100;67;80;16.0;100
controller 54;531;100;72;91;20.0;50
controller 90;567;100;60;91;20.0;100
controller 54;579;100;69;84;20.0;50
controller 90;585;100;60;91;20.0;100
controller 65;587;100;46;94;20.0;50
controller 82;590;100;57;81;20.0;75
controller 86;592;100;45;79;18.0;100
controller 54;596;100;68;87;13.0;50
controller 90;601;100;58;97;20.0;100
controller 54;609;100;68;85;19.0;50
controller 13;621;100;31;55;20.0;100
controller 90;622;100;58;80;18.0;100
controller 54;626;100;68;90;20.0;50
controller 90;665;100;56;79;20.0;100
controller 54;667;100;63;97;20.0;50
controller 90;695;100;55;92;20.0;100
controller 54;705;100;59;83;19.0;50
controller 66;715;100;47;85;17.0;100
controller 82;717;100;51;82;20.0;75
controller 54;719;100;57;78;19.0;50
controller 90;724;100;54;89;20.0;100
controller 54;733;100;57;78;20.0;50
controller 1;745;30;58;84;11.0;100
controller 54;747;100;55;76;20.0;50
controller 90;754;100;53;84;20.0;100
controller 54;764;100;52;78;19.0;50
controller 90;779;100;50;80;20.0;100
controller 54;781;100;51;59;20.0;50
controller 66;786;100;43;79;20.0;100
controller 90;797;100;48;81;20.0;100
controller 54;804;100;50;79;20.0;50
controller 86;806;100;33;43;20.0;100
controller 66;808;100;40;99;20.0;100
controller 90;815;100;47;80;19.0;100
controller 1;821;100;54;79;18.0;100
controller 54;825;100;48;80;20.0;50
controller 90;833;100;46;79;20.0;100
controller 66;837;100;39;81;20.0;100
controller 54;844;100;45;66;20.0;50
controller 90;861;100;46;64;20.0;100
controller 54;865;100;43;76;20.0;50
controller 90;880;100;44;92;19.0;100
controller 54;888;100;41;78;20.0;50
controller 90;899;100;39;81;20.0;100
