controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 59;1;100;100;62;13.0;90
controller 51;20;100;95;69;18.0;75
controller 59;38;100;96;79;17.0;90
controller 78;41;100;78;57;19.0;100
controller 59;49;100;96;96;16.0;90
controller 97;101;100;60;88;20.0;100
controller 59;105;100;87;58;19.0;90
controller 51;138;100;91;96;20.0;75
controller 59;140;100;82;79;19.0;90
controller 63;146;100;79;83;20.0;100
controller 51;149;100;90;100;20.0;75
controller 59;163;100;79;73;19.0;90
controller 75;165;100;83;76;20.0;90
controller 51;167;100;88;92;17.0;75
controller 59;195;100;76;81;20.0;90
controller 51;200;100;86;75;17.0;75
controller 59;246;100;73;83;20.0;90
controller 78;250;100;67;95;20.0;100
controller 59;266;100;70;69;20.0;90
controller 78;271;100;65;80;20.0;100
controller 51;286;100;75;54;19.0;75
controller 59;307;100;68;79;20.0;90
controller 78;310;100;64;51;18.0;100
controller 51;315;100;73;56;18.0;75
controller 59;340;100;64;92;20.0;90
controller 78;375;100;58;63;20.0;100
controller 59;385;100;62;79;18.0;90
controller 78;390;100;57;57;19.0;100
controller 59;400;100;60;82;20.0;90
controller 78;410;100;56;85;20.0;100
controller 59;425;100;59;74;20.0;90
controller 78;438;100;54;82;20.0;100
controller 59;465;100;50;84;18.0;90
controller 78;468;100;48;93;20.0;100
controller 63;476;100;58;88;20.0;100
controller 38;480;100;66;72;17.0;50
controller 78;482;100;47;76;15.0;100
controller 59;495;100;47;74;20.0;90
controller 78;497;100;46;73;20.0;100
controller 38;535;100;65;64;20.0;50
controller 78;540;100;41;86;20.0;100
controller 59;547;100;45;100;20.0;90
controller 78;556;100;40;73;20.0;100
controller 38;563;100;64;76;19.0;50
controller 59;570;100;44;81;19.0;90
controller 38;596;100;62;73;19.0;50
controller 78;605;100;37;84;20.0;100
controller 59;616;100;38;71;20.0;90
controller 78;623;100;36;76;20.0;100
controller 75;650;100;59;81;20.0;90
controller 78;651;100;33;96;20.0;100
controller 59;690;100;30;85;20.0;90
controller 78;699;100;31;53;19.0;100
controller 38;714;100;54;81;20.0;50
controller 78;722;100;30;73;20.0;100
controller 59;725;100;27;83;20.0;90
controller 83;731;100;62;85;20.0;90
controller 78;736;100;29;67;20.0;100
controller 75;776;100;51;82;19.0;90
controller 59;779;100;22;82;17.0;90
controller 78;781;100;26;90;20.0;100
controller 83;805;100;60;84;20.0;90
controller 75;808;100;48;71;20.0;90
controller 78;810;100;24;89;19.0;100
controller 38;870;10;43;80;20.0;50
controller 59;871;100;17;69;20.0;90
controller 78;875;100;19;77;20.0;100
