controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 70;1;100;79;88;16.0;100
controller 98;2;100;94;83;17.0;75
controller 65;16;100;85;57;20.0;75
controller 69;20;100;82;78;20.0;75
controller 98;22;100;92;80;19.0;75
controller 69;140;100;74;80;20.0;75
controller 65;155;100;71;98;20.0;75
controller 98;157;100;83;74;14.0;75
controller 69;160;100;70;82;20.0;75
controller 65;172;100;69;80;20.0;75
controller 98;175;100;81;75;15.0;75
controller 69;205;100;68;90;20.0;75
controller 98;207;100;75;78;20.0;75
controller 97;263;100;71;57;20.0;75
controller 98;265;100;71;76;18.0;75
controller 97;278;100;70;59;20.0;75
controller 82;281;100;57;84;20.0;100
controller 98;285;100;71;80;18.0;75
controller 97;312;100;67;66;20.0;75
controller 64;318;100;73;81;20.0;75
controller 65;320;100;59;99;19.0;75
controller 98;325;100;67;77;18.0;75
controller 64;375;100;70;82;20.0;75
controller 82;378;100;51;79;20.0;100
controller 98;380;100;63;81;19.0;75
controller 82;415;100;51;81;20.0;100
controller 97;417;100;59;57;19.0;75
controller 98;425;100;58;84;19.0;75
controller 78;430;100;54;90;20.0;100
controller 64;432;100;69;80;20.0;75
controller 97;436;100;55;53;19.0;75
controller 82;439;100;50;87;20.0;100
controller 98;442;100;57;94;20.0;75
controller 59;450;100;26;74;20.0;100
controller 64;455;100;68;95;18.0;75
controller 98;462;100;56;82;20.0;75
controller 82;465;100;48;83;20.0;100
controller 70;471;100;50;27;18.0;100
controller 98;474;100;55;82;20.0;75
controller 75;478;100;59;81;20.0;0
controller 64;481;100;66;99;20.0;75
controller 98;500;100;53;81;19.0;75
controller 78;535;100;52;82;20.0;100
controller 98;539;100;50;64;20.0;75
controller 64;566;100;59;76;20.0;75
controller 78;572;100;52;79;20.0;100
controller 98;579;100;46;91;19.0;75
controller 78;614;100;51;79;20.0;100
controller 64;629;100;58;83;20.0;75
controller 98;635;100;41;79;20.0;75
controller 78;646;100;49;83;20.0;100
controller 64;654;100;57;86;20.0;75
controller 97;661;100;38;79;20.0;75
controller 98;663;100;39;89;20.0;75
controller 64;682;100;56;94;19.0;75
controller 97;688;100;37;93;20.0;75
controller 98;692;100;38;76;20.0;75
controller 78;696;100;48;80;20.0;100
controller 65;705;100;32;97;20.0;75
controller 97;707;100;34;100;20.0;75
controller 98;713;100;38;80;20.0;75
controller 78;716;100;48;90;19.0;100
controller 65;725;100;30;64;20.0;75
controller 97;729;100;31;98;20.0;75
controller 98;733;100;38;66;20.0;75
controller 78;738;100;47;90;20.0;100
controller 82;740;100;33;88;16.0;100
controller 65;742;100;29;56;16.0;75
controller 64;744;100;53;84;17.0;75
controller 98;754;100;37;79;20.0;75
controller 78;760;100;44;85;19.0;100
controller 98;776;100;35;81;20.0;75
controller 78;780;100;42;79;19.0;100
controller 98;796;100;34;83;18.0;75
controller 78;805;100;40;97;20.0;100
controller 64;826;100;50;85;20.0;75
controller 98;830;100;30;81;20.0;75
controller 78;837;100;37;80;20.0;100
controller 82;840;100;24;81;20.0;100
controller 64;843;100;49;84;20.0;75
controller 98;853;100;29;85;20.0;75
controller 78;856;100;36;82;20.0;100
controller 64;860;100;48;84;20.0;75
controller 98;891;100;29;77;19.0;75
