controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 96;1;98;75;79;19.933403;100
controller 84;238;99;81;27;31.974604;75
controller 96;251;99;52;88;15.554981;100
controller 83;261;97;70;63;11.726565;60
controller 53;268;99;73;71;8.654407;90
controller 96;281;93;48;68;26.847862;100
controller 53;293;94;69;85;3.7871408;90
controller 59;296;85;33;100;4.244986;60
controller 83;296;99;67;88;3.7249036;60
controller 96;327;100;43;80;18.790794;100
controller 53;341;98;64;78;16.445307;90
controller 83;459;96;58;78;13.176839;60
controller 53;486;100;51;78;20.547482;90
controller 79;496;97;25;91;13.925994;100
controller 67;496;100;24;15;2.370316;90
controller 57;554;98;33;83;15.731524;50
controller 96;557;94;33;85;31.974604;100
controller 88;699;85;31;68;1.7829895;90
controller 57;701;95;22;79;4.2197766;50
controller 32;711;100;41;86;6.997536;0
controller 84;717;92;24;9;6.8908854;75
controller 91;757;97;34;46;7.9249964;90
controller 57;799;89;13;72;3.81691;50
controller 32;834;86;34;64;2.2078192;0
controller 43;836;97;20;87;2.223388;0
