controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 64;1;100;93;51;13.0;75
controller 58;51;100;95;90;17.0;50
controller 7;53;100;88;90;19.0;75
controller 79;70;100;89;80;19.0;75
controller 64;72;100;84;51;20.0;75
controller 57;83;100;95;77;20.0;50
controller 7;85;100;88;67;16.0;75
controller 79;95;100;89;79;19.0;75
controller 14;97;100;96;81;8.0;50
controller 47;101;100;62;82;18.0;75
controller 7;105;0;85;77;20.0;75
controller 57;111;100;95;83;20.0;50
controller 7;119;100;82;83;20.0;75
controller 58;121;100;92;83;20.0;50
controller 79;160;100;85;90;20.0;75
controller 58;165;100;86;80;19.0;50
controller 14;176;100;92;64;18.0;50
controller 79;181;100;83;81;20.0;75
controller 58;183;100;84;85;20.0;50
controller 14;198;100;90;69;17.0;50
controller 58;206;100;80;82;20.0;50
controller 14;221;100;89;83;19.0;50
controller 58;234;100;79;88;20.0;50
controller 7;241;100;71;93;20.0;75
controller 79;245;100;80;79;20.0;75
controller 58;249;100;75;72;20.0;50
controller 57;254;100;91;95;19.0;50
controller 14;256;100;85;84;18.0;50
controller 58;266;100;75;85;20.0;50
controller 7;271;100;68;83;19.0;75
controller 79;275;100;78;88;20.0;75
controller 14;280;100;83;82;20.0;50
controller 58;285;100;74;80;20.0;50
controller 57;292;100;87;94;20.0;50
controller 14;297;100;82;75;18.0;50
controller 58;301;100;74;91;20.0;50
controller 14;315;100;81;71;20.0;50
controller 58;321;100;72;77;20.0;50
controller 79;330;100;78;57;20.0;75
controller 7;332;100;65;72;14.0;75
controller 58;340;100;69;85;14.0;50
controller 57;343;100;83;84;20.0;50
controller 14;349;100;80;83;7.0;50
controller 79;352;100;75;82;20.0;75
controller 7;376;100;61;81;17.0;75
controller 79;381;100;73;83;20.0;75
controller 58;384;100;66;67;20.0;50
controller 57;391;100;82;72;19.0;50
controller 7;394;100;60;75;14.0;75
controller 96;396;100;74;99;17.0;75
controller 14;406;100;77;70;13.0;50
controller 58;411;100;62;83;17.0;50
controller 14;425;100;77;88;17.0;50
controller 58;427;100;62;88;20.0;50
controller 96;431;100;70;100;20.0;75
controller 57;437;100;78;79;20.0;50
controller 14;440;100;76;88;18.0;50
controller 58;447;100;61;84;20.0;50
controller 14;464;100;74;40;19.0;50
controller 58;466;100;57;78;18.0;50
controller 57;474;100;76;79;20.0;50
controller 79;476;100;65;82;20.0;75
controller 14;479;100;73;51;18.0;50
controller 7;482;100;52;81;18.0;75
controller 58;486;100;55;77;20.0;50
controller 7;497;100;50;82;20.0;75
controller 57;508;100;73;84;19.0;50
controller 79;516;100;62;82;20.0;75
controller 14;520;100;70;51;18.0;50
controller 58;525;100;53;82;20.0;50
controller 7;530;100;49;77;19.0;75
controller 14;532;100;70;70;20.0;50
controller 57;535;100;71;77;20.0;50
controller 14;543;100;70;87;17.0;50
controller 79;545;100;62;89;20.0;75
controller 14;555;100;68;85;20.0;50
controller 58;560;100;53;79;20.0;50
controller 14;566;100;68;78;18.0;50
controller 7;571;100;47;72;20.0;75
controller 79;580;100;59;88;20.0;75
controller 14;582;100;68;67;20.0;50
controller 58;585;100;48;85;20.0;50
controller 14;596;100;67;83;20.0;50
controller 79;602;100;57;81;20.0;75
controller 58;605;100;47;87;20.0;50
controller 7;615;100;41;77;19.0;75
controller 14;617;100;66;70;5.0;50
controller 96;620;100;57;82;20.0;75
controller 58;623;100;46;80;18.0;50
controller 7;631;100;40;70;20.0;75
controller 14;636;100;65;96;7.0;50
controller 79;640;100;55;57;20.0;75
controller 58;642;100;45;78;20.0;50
controller 14;651;100;64;82;13.0;50
controller 98;660;100;51;45;20.0;50
controller 58;661;100;44;69;20.0;50
controller 14;664;100;64;76;15.0;50
controller 79;675;100;53;75;19.0;75
controller 14;681;100;63;93;16.0;50
controller 58;685;100;43;83;20.0;50
controller 57;687;100;61;79;20.0;50
controller 14;691;100;63;87;15.0;50
controller 7;695;100;33;82;20.0;75
controller 93;697;100;50;80;20.0;0
controller 14;699;100;61;96;20.0;50
controller 99;703;100;33;43;17.0;75
controller 58;705;100;42;81;20.0;50
controller 79;707;100;52;90;19.0;75
controller 14;710;100;61;97;20.0;50
controller 57;715;100;59;80;20.0;50
controller 4;717;100;27;84;19.0;100
controller 14;719;100;60;84;16.0;50
controller 58;724;100;39;79;18.0;50
controller 79;726;100;50;79;20.0;75
controller 58;755;100;36;86;19.0;50
controller 79;760;100;45;80;20.0;75
controller 57;762;100;58;94;17.0;50
controller 58;776;100;34;86;20.0;50
controller 57;782;100;57;81;19.0;50
controller 79;784;100;42;84;20.0;75
controller 14;798;100;56;92;10.0;50
controller 58;800;100;32;86;18.0;50
controller 57;806;100;54;88;20.0;50
controller 58;821;100;30;77;20.0;50
controller 57;825;100;53;86;20.0;50
controller 96;830;100;44;86;20.0;75
controller 7;832;100;21;85;20.0;75
controller 14;835;100;54;82;4.0;50
controller 79;837;100;39;79;19.0;75
controller 57;845;100;51;92;19.0;50
controller 58;854;100;28;83;20.0;50
controller 14;869;100;54;69;6.0;50
controller 58;875;100;24;82;20.0;50
controller 57;888;100;50;79;18.0;50
controller 14;896;100;50;46;6.0;50
