controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 49;1;95;94;88;11.974603;100
controller 43;81;97;87;86;31.974604;50
controller 76;98;99;79;88;21.695097;75
controller 39;109;100;71;51;18.394886;60
controller 49;128;99;86;77;20.66671;100
controller 43;135;97;84;77;31.974604;50
controller 6;155;100;55;87;22.651457;100
controller 76;218;99;75;86;14.181995;75
controller 43;242;99;73;91;20.350075;50
controller 59;249;97;63;83;31.974604;50
controller 76;262;100;72;99;31.974604;75
controller 49;278;98;80;87;11.822858;100
controller 39;314;100;58;71;31.974604;60
controller 76;319;100;63;83;31.974604;75
controller 49;331;98;70;80;19.805195;100
controller 43;339;98;65;78;20.73444;50
controller 59;353;100;61;95;31.974604;50
controller 15;361;100;53;89;31.974604;90
controller 39;372;95;55;82;11.946826;60
controller 53;377;99;59;78;1.9063777;100
controller 39;413;100;54;86;31.974604;60
controller 59;457;97;58;89;31.974604;50
controller 39;481;98;48;76;24.418287;60
controller 76;501;98;49;89;16.63267;75
controller 53;510;100;53;95;1.3068281;100
controller 15;523;91;42;86;0.23059762;90
controller 17;523;95;14;68;0.5373392;0
controller 39;707;100;36;94;16.95911;60
controller 76;715;100;44;82;33.072044;75
controller 59;718;100;43;82;13.773612;50
controller 39;763;97;32;95;12.475281;60
controller 76;767;100;43;70;31.974604;75
controller 59;803;96;36;78;12.02357;50
controller 83;879;95;38;84;12.797826;50
