controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 84;1;98;87;97;19.933403;75
controller 7;4;92;94;73;31.974604;50
controller 56;9;92;86;74;9.21659;75
controller 68;53;95;73;80;31.974604;75
controller 55;57;86;81;81;15.379463;100
controller 56;69;98;81;80;31.974604;75
controller 0;76;98;80;89;31.974604;50
controller 60;88;95;84;91;31.974604;75
controller 97;95;93;64;93;11.462066;100
controller 13;110;98;96;91;11.715314;0
controller 7;113;100;94;21;31.974604;50
controller 68;117;99;66;79;31.974604;75
controller 55;158;90;73;79;5.5633345;100
controller 97;161;98;60;69;31.974604;100
controller 56;165;100;78;89;18.234732;75
controller 96;228;100;37;75;22.716461;75
controller 78;246;100;50;96;31.974604;75
controller 97;283;91;57;82;3.7970278;100
controller 56;317;97;66;93;31.974604;75
controller 97;323;98;54;74;31.974604;100
controller 13;340;100;76;55;31.974604;0
controller 55;344;97;57;82;6.2380743;100
controller 89;354;93;58;92;20.851038;75
controller 56;381;100;66;98;31.974604;75
controller 80;403;95;25;78;8.141707;100
controller 55;448;86;50;89;10.838586;100
controller 56;459;99;59;94;31.974604;75
controller 55;505;96;44;80;31.974604;100
controller 97;511;100;46;69;23.341345;100
controller 55;582;96;37;83;32.021515;100
controller 97;608;91;42;80;13.196207;100
controller 66;630;98;49;98;31.974604;75
controller 55;633;95;28;87;18.230118;100
controller 44;656;100;33;89;31.974604;50
controller 97;659;90;39;67;3.7088015;100
controller 44;686;90;33;84;31.974604;50
controller 97;689;94;37;65;2.6369426;100
controller 55;694;98;20;74;8.862902;100
controller 78;699;100;21;79;31.974604;75
controller 97;704;98;37;65;9.252103;100
controller 55;737;100;15;83;31.974604;100
controller 97;755;95;36;78;31.974604;100
controller 55;779;100;12;65;31.974604;100
controller 78;784;99;16;88;31.974604;75
controller 44;787;95;30;63;14.957788;50
controller 97;791;90;36;79;2.3624046;100
controller 44;797;100;30;81;24.733225;50
controller 62;841;100;18;67;19.908125;50
controller 78;844;90;14;96;9.714592;75
controller 89;852;94;16;43;7.8286304;75
controller 44;855;97;26;82;2.3062594;50
controller 45;889;97;38;84;15.977363;0
controller 35;892;95;39;88;10.061391;50
