controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 10;1;100;98;58;20.0;100
controller 53;20;100;96;66;20.0;50
controller 89;26;100;93;100;17.0;100
controller 71;31;100;70;79;20.0;90
controller 53;34;100;96;82;20.0;50
controller 10;40;100;90;78;17.0;100
controller 89;52;100;91;96;20.0;100
controller 53;56;100;94;97;16.0;50
controller 66;59;100;97;57;17.0;60
controller 81;63;100;73;100;20.0;90
controller 66;74;100;94;62;18.0;60
controller 89;76;100;89;95;19.0;100
controller 10;97;100;84;72;20.0;100
controller 72;104;100;92;80;20.0;60
controller 53;115;100;93;92;20.0;50
controller 89;121;100;87;90;20.0;100
controller 66;125;100;86;84;20.0;60
controller 72;127;100;91;78;20.0;60
controller 53;130;100;92;92;20.0;50
controller 89;144;100;86;88;20.0;100
controller 53;169;100;90;90;20.0;50
controller 66;220;100;76;90;20.0;60
controller 18;222;100;73;83;20.0;75
controller 84;226;100;81;79;20.0;50
controller 53;228;100;82;90;18.0;50
controller 18;235;10;73;83;17.0;75
controller 71;241;100;63;77;20.0;90
controller 53;243;100;82;80;20.0;50
controller 61;255;100;78;85;20.0;50
controller 53;272;100;79;80;20.0;50
controller 84;341;100;75;82;20.0;50
controller 71;345;100;58;72;20.0;90
controller 53;348;100;73;94;20.0;50
controller 61;360;100;70;79;20.0;50
controller 53;366;100;72;92;20.0;50
controller 61;375;100;69;87;20.0;50
controller 84;383;100;74;80;19.0;50
controller 61;410;100;65;91;20.0;50
controller 53;417;100;70;86;20.0;50
controller 18;419;100;63;78;20.0;75
controller 71;421;100;56;56;20.0;90
controller 18;451;100;62;79;19.0;75
controller 71;458;100;54;85;20.0;90
controller 53;461;100;68;80;20.0;50
controller 84;476;100;63;88;20.0;50
controller 71;478;100;53;86;19.0;90
controller 18;500;10;58;87;15.0;75
controller 71;502;100;52;72;20.0;90
controller 73;505;100;70;71;20.0;90
controller 53;507;100;63;81;16.0;50
controller 71;516;100;52;86;20.0;90
controller 61;526;100;60;82;19.0;50
controller 71;531;100;51;95;20.0;90
controller 84;540;100;57;93;19.0;50
controller 18;542;100;55;97;20.0;75
controller 71;549;100;51;85;20.0;90
controller 18;575;100;53;73;20.0;75
controller 71;580;100;46;79;20.0;90
controller 18;594;100;53;79;19.0;75
controller 61;596;100;56;59;20.0;50
controller 71;605;100;46;95;19.0;90
controller 84;607;100;55;78;20.0;50
controller 53;615;100;53;82;20.0;50
controller 18;620;100;51;96;18.0;75
controller 71;625;100;44;64;20.0;90
controller 73;636;100;65;84;20.0;90
controller 18;640;100;51;97;19.0;75
controller 71;642;100;43;52;20.0;90
controller 61;645;100;53;74;20.0;50
controller 71;658;100;42;52;20.0;90
controller 84;660;100;53;71;18.0;50
controller 71;676;100;41;65;20.0;90
controller 61;730;100;52;68;20.0;50
controller 71;735;100;37;91;18.0;90
controller 53;750;30;49;69;20.0;50
controller 73;752;100;58;84;20.0;90
controller 61;754;100;51;79;20.0;50
controller 71;764;100;36;70;20.0;90
controller 53;774;100;49;99;20.0;50
controller 71;788;100;34;69;20.0;90
controller 61;795;100;47;74;20.0;50
controller 73;800;100;57;82;19.0;90
controller 53;802;100;48;89;19.0;50
controller 71;805;100;34;75;20.0;90
controller 73;827;100;56;87;20.0;90
controller 61;830;100;46;85;20.0;50
controller 53;834;100;47;95;20.0;50
controller 71;851;100;30;78;20.0;90
controller 61;890;100;43;88;20.0;50
controller 53;896;100;42;98;19.0;50
