controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 80;1;100;96;63;15.0;75
controller 75;9;100;85;76;19.0;75
controller 86;31;100;93;77;20.0;50
controller 80;60;100;89;54;20.0;75
controller 75;65;100;80;68;20.0;75
controller 96;80;100;84;87;20.0;100
controller 75;84;100;78;78;19.0;75
controller 60;87;100;79;71;19.0;75
controller 77;91;100;69;84;20.0;90
controller 75;110;100;78;78;19.0;75
controller 80;112;100;83;75;20.0;75
controller 75;142;100;77;89;20.0;75
controller 17;161;100;79;76;20.0;75
controller 80;165;100;75;56;20.0;75
controller 75;171;100;75;75;20.0;75
controller 15;184;100;78;82;20.0;75
controller 60;191;100;70;97;20.0;75
controller 15;200;100;77;77;20.0;75
controller 75;202;100;73;91;20.0;75
controller 86;221;100;81;94;20.0;50
controller 60;225;100;68;82;20.0;75
controller 75;229;100;71;77;20.0;75
controller 15;233;100;77;76;20.0;75
controller 64;235;100;78;95;20.0;100
controller 86;237;100;80;97;20.0;50
controller 60;243;100;65;82;20.0;75
controller 11;256;100;86;83;20.0;50
controller 75;259;100;69;81;18.0;75
controller 15;281;100;77;82;15.0;75
controller 77;285;100;51;88;20.0;90
controller 75;288;100;66;77;20.0;75
controller 17;332;100;75;75;16.0;75
controller 15;335;100;72;83;19.0;75
controller 75;346;100;64;76;20.0;75
controller 15;351;100;72;73;20.0;75
controller 86;355;100;73;82;20.0;50
controller 75;381;100;61;98;18.0;75
controller 86;385;100;73;99;20.0;50
controller 15;395;100;68;79;20.0;75
controller 86;410;100;72;74;20.0;50
controller 15;415;100;67;77;20.0;75
controller 77;420;100;43;81;20.0;90
controller 75;422;100;61;79;17.0;75
controller 15;430;10;67;75;19.0;75
controller 17;433;100;67;79;17.0;75
controller 86;441;100;71;71;20.0;50
controller 75;450;100;59;84;20.0;75
controller 17;454;100;66;68;16.0;75
controller 86;461;100;69;68;20.0;50
controller 17;469;100;66;85;20.0;75
controller 15;475;100;66;67;12.0;75
controller 75;481;100;54;86;20.0;75
controller 17;490;100;64;83;14.0;75
controller 15;495;30;64;81;20.0;75
controller 86;497;100;63;80;20.0;50
controller 17;504;100;62;81;20.0;75
controller 75;506;100;53;84;20.0;75
controller 17;521;100;62;86;17.0;75
controller 15;524;100;62;86;19.0;75
controller 86;530;100;61;78;20.0;50
controller 17;540;100;60;79;20.0;75
controller 75;546;100;52;81;19.0;75
controller 15;551;100;60;75;17.0;75
controller 86;555;100;61;86;18.0;50
controller 75;579;100;49;81;20.0;75
controller 86;588;100;56;79;20.0;50
controller 15;594;100;57;89;16.0;75
controller 64;596;100;57;76;19.0;100
controller 47;598;100;48;85;20.0;50
controller 70;600;100;52;21;19.0;100
controller 60;601;100;33;73;20.0;75
controller 75;604;100;45;79;20.0;75
controller 15;611;100;56;77;18.0;75
controller 86;621;100;51;98;20.0;50
controller 15;625;100;56;83;17.0;75
controller 80;631;100;39;51;20.0;75
controller 17;633;100;55;83;13.0;75
controller 47;635;100;48;83;20.0;50
controller 75;636;100;40;79;19.0;75
controller 11;639;100;65;86;19.0;50
controller 15;645;0;55;76;11.0;75
controller 47;647;100;48;76;19.0;50
controller 86;649;100;48;83;20.0;50
controller 70;651;100;48;44;20.0;100
controller 17;655;100;54;79;18.0;75
controller 75;670;100;39;87;20.0;75
controller 17;675;100;50;79;18.0;75
controller 86;685;100;47;90;20.0;50
controller 47;690;100;46;81;20.0;50
controller 17;695;100;47;77;11.0;75
controller 75;698;100;37;88;20.0;75
controller 47;705;100;45;78;20.0;50
controller 86;709;100;45;76;19.0;50
controller 15;715;30;54;77;16.0;75
controller 75;725;100;34;80;20.0;75
controller 15;731;100;54;83;19.0;75
controller 17;736;100;43;72;20.0;75
controller 86;745;100;40;72;19.0;50
controller 15;747;100;54;66;12.0;75
controller 89;751;100;50;81;20.0;50
controller 17;753;100;41;82;18.0;75
controller 75;755;100;32;78;20.0;75
controller 15;761;100;53;67;18.0;75
controller 86;771;100;40;78;20.0;50
controller 17;774;100;40;80;15.0;75
controller 15;776;100;53;81;19.0;75
controller 75;780;100;32;89;20.0;75
controller 70;791;100;40;30;20.0;100
controller 64;795;100;46;85;20.0;100
controller 86;800;100;35;82;20.0;50
controller 75;805;100;31;77;19.0;75
controller 15;806;100;52;82;18.0;75
controller 64;813;100;44;84;20.0;100
controller 47;815;100;35;78;17.0;50
controller 15;820;0;50;81;16.0;75
controller 75;827;100;29;86;20.0;75
controller 15;842;10;49;95;20.0;75
controller 93;846;100;14;82;20.0;75
controller 75;849;100;25;78;20.0;75
controller 86;851;100;29;90;19.0;50
controller 89;854;100;46;81;20.0;50
controller 64;857;100;42;83;20.0;100
controller 15;860;100;49;96;14.0;75
controller 17;866;100;34;85;18.0;75
controller 75;870;100;24;83;20.0;75
controller 15;880;100;47;78;17.0;75
controller 17;886;100;33;77;20.0;75
controller 64;890;100;41;95;17.0;100
controller 75;892;100;23;83;20.0;75
controller 15;895;100;47;100;13.0;75
controller 97;900;100;58;84;20.0;100
