controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 90;1;100;84;76;6.0;90
controller 96;2;100;93;84;7.0;75
controller 54;36;100;90;86;20.0;50
controller 90;61;100;82;51;20.0;90
controller 54;90;100;83;60;20.0;50
controller 96;95;100;84;78;20.0;75
controller 90;115;100;76;81;20.0;90
controller 96;150;100;81;83;18.0;75
controller 90;152;100;71;76;19.0;90
controller 96;168;100;81;73;19.0;75
controller 90;178;100;68;87;20.0;90
controller 82;181;100;76;89;20.0;100
controller 96;187;100;78;75;20.0;75
controller 90;219;100;68;80;20.0;90
controller 96;234;100;70;80;20.0;75
controller 90;239;100;66;97;20.0;90
controller 96;280;100;64;73;20.0;75
controller 90;282;100;63;68;16.0;90
controller 82;284;100;73;81;20.0;100
controller 81;288;100;48;91;20.0;100
controller 90;297;100;63;85;18.0;90
controller 96;305;100;64;80;20.0;75
controller 90;314;100;62;92;20.0;90
controller 82;337;100;69;87;20.0;100
controller 76;344;100;64;83;20.0;90
controller 90;346;100;62;70;16.0;90
controller 96;355;100;60;73;18.0;75
controller 90;363;100;61;95;20.0;90
controller 96;386;100;56;88;20.0;75
controller 90;400;100;59;85;20.0;90
controller 81;410;100;41;56;20.0;100
controller 96;412;100;55;79;20.0;75
controller 90;417;100;58;93;20.0;90
controller 58;426;100;55;80;20.0;60
controller 90;432;100;56;60;20.0;90
controller 96;443;100;53;76;19.0;75
controller 90;451;100;56;51;20.0;90
controller 54;455;100;57;70;20.0;50
controller 90;465;100;54;72;20.0;90
controller 76;495;100;61;88;20.0;90
controller 90;497;100;54;81;19.0;90
controller 96;520;100;49;72;20.0;75
controller 90;525;100;47;53;20.0;90
controller 81;527;100;34;67;16.0;100
controller 59;530;100;54;81;20.0;60
controller 58;532;100;46;84;20.0;60
controller 90;540;100;46;63;20.0;90
controller 82;560;100;51;40;20.0;100
controller 96;562;100;47;73;20.0;75
controller 90;565;100;45;83;20.0;90
controller 96;591;100;44;84;20.0;75
controller 82;598;100;49;87;20.0;100
controller 90;607;100;41;61;19.0;90
controller 82;650;100;46;90;20.0;100
controller 90;654;100;38;59;17.0;90
controller 54;656;100;46;71;20.0;50
controller 96;681;100;35;83;20.0;75
controller 82;691;100;44;85;18.0;100
controller 90;698;100;37;98;14.0;90
controller 76;732;100;48;82;20.0;90
controller 90;734;100;34;88;17.0;90
controller 82;744;100;44;80;20.0;100
controller 90;751;100;34;89;15.0;90
controller 82;831;100;35;95;20.0;100
controller 90;855;100;24;97;20.0;90
controller 82;856;100;32;89;20.0;100
controller 54;864;100;37;82;20.0;50
controller 90;870;100;24;100;20.0;90
controller 82;885;100;30;87;20.0;100
controller 21;889;100;37;56;19.0;50
controller 90;895;100;24;94;18.0;90
controller 96;900;100;18;82;18.0;75
