controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 55;1;96;69;64;13.912803;60
controller 43;19;100;58;84;31.974604;50
controller 48;29;96;98;59;23.151571;0
controller 55;34;100;68;83;31.974604;60
controller 69;50;96;54;79;6.5919013;100
controller 43;57;92;58;75;31.974604;50
controller 86;63;94;76;58;31.974604;100
controller 66;67;99;86;84;13.035861;50
controller 24;80;97;71;82;31.974604;50
controller 69;84;100;51;77;12.771716;100
controller 43;87;96;57;65;31.974604;50
controller 66;94;94;85;85;31.974604;50
controller 70;113;100;71;81;6.4608874;90
controller 69;131;100;47;75;31.974604;100
controller 55;135;94;66;88;31.974604;60
controller 70;152;100;65;81;8.399513;90
controller 17;219;95;81;86;19.331758;75
controller 69;226;100;36;88;31.974604;100
controller 66;237;98;74;82;31.974604;50
controller 17;242;97;80;84;31.974604;75
controller 80;253;100;54;63;31.974604;60
controller 70;262;90;58;73;7.8104973;90
controller 66;292;100;69;83;21.2819;50
controller 69;297;99;36;89;13.677066;100
controller 55;318;100;57;89;31.974604;60
controller 70;343;99;56;89;31.974604;90
controller 69;346;100;28;72;31.974604;100
controller 66;369;90;65;57;21.332268;50
controller 48;373;96;81;82;23.806738;0
controller 17;376;99;73;92;31.974604;75
controller 70;381;96;54;84;31.974604;90
controller 57;579;100;28;80;19.112568;90
controller 22;599;100;67;81;24.677471;50
controller 55;604;94;43;80;31.974604;60
controller 56;625;100;70;17;19.759804;60
controller 73;630;100;38;86;19.646555;50
controller 66;635;100;38;81;31.974604;50
controller 70;639;100;35;83;1.5128554;90
controller 22;644;91;66;59;31.974604;50
controller 73;658;100;36;81;31.974604;50
controller 22;680;95;64;80;18.663765;50
controller 24;699;96;47;79;5.543558;50
controller 55;703;96;40;69;9.099177;60
controller 73;772;100;25;84;31.974604;50
controller 56;779;100;63;13;12.13681;60
controller 32;784;98;33;75;28.953535;0
controller 55;790;98;30;76;15.253838;60
controller 70;837;96;25;95;4.905614;90
controller 55;853;99;25;83;31.974604;60
controller 22;861;88;59;84;30.28584;50
controller 70;874;93;21;92;4.2792;90
controller 73;890;100;16;82;23.511526;50
controller 22;894;90;59;75;31.974604;50
controller 32;897;100;28;56;31.974604;0
