controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 87;1;100;79;51;15.0;100
controller 72;3;100;90;70;17.0;75
controller 83;11;100;92;81;19.0;75
controller 98;15;100;84;97;19.0;75
controller 87;17;100;79;62;20.0;100
controller 57;21;100;94;73;20.0;50
controller 83;29;100;91;83;17.0;75
controller 87;31;100;78;62;20.0;100
controller 83;59;100;88;62;19.0;75
controller 87;76;100;71;81;20.0;100
controller 98;94;100;80;61;20.0;75
controller 57;98;100;89;89;20.0;50
controller 72;112;100;86;54;20.0;75
controller 98;125;100;79;58;20.0;75
controller 72;138;100;86;52;17.0;75
controller 57;140;100;86;84;19.0;50
controller 72;152;100;86;58;19.0;75
controller 57;230;100;77;81;20.0;50
controller 72;232;100;75;51;20.0;75
controller 87;243;100;52;72;20.0;100
controller 72;248;100;74;54;20.0;75
controller 57;281;100;73;87;20.0;50
controller 72;285;100;74;78;20.0;75
controller 87;287;100;49;85;20.0;100
controller 91;297;100;65;82;20.0;50
controller 72;299;100;73;80;20.0;75
controller 98;380;100;54;73;20.0;75
controller 57;382;100;66;81;19.0;50
controller 72;385;100;62;83;20.0;75
controller 57;421;100;66;80;20.0;50
controller 72;426;100;59;86;20.0;75
controller 98;440;100;51;69;20.0;75
controller 72;445;100;56;90;19.0;75
controller 69;447;100;54;82;20.0;50
controller 83;449;100;73;24;20.0;75
controller 87;454;100;32;76;20.0;100
controller 72;459;100;56;71;16.0;75
controller 57;466;100;64;94;17.0;50
controller 72;473;100;55;60;20.0;75
controller 91;479;100;52;82;20.0;50
controller 98;483;100;47;88;20.0;75
controller 72;487;100;55;55;20.0;75
controller 98;536;100;42;95;20.0;75
controller 72;541;100;52;79;20.0;75
controller 83;542;100;69;48;20.0;75
controller 72;571;100;51;98;20.0;75
controller 83;575;100;64;89;20.0;75
controller 72;590;100;51;78;20.0;75
controller 83;593;100;62;99;20.0;75
controller 57;631;100;50;77;19.0;50
controller 83;635;100;57;95;20.0;75
controller 72;645;100;49;67;16.0;75
controller 83;657;100;56;87;20.0;75
controller 72;671;100;45;67;19.0;75
controller 83;679;100;56;84;20.0;75
controller 98;690;100;31;96;20.0;75
controller 57;692;100;47;82;19.0;50
controller 83;706;100;55;87;20.0;75
controller 72;765;100;40;88;20.0;75
controller 83;767;100;53;97;20.0;75
controller 57;770;100;43;79;20.0;50
controller 72;782;100;39;56;20.0;75
controller 83;789;100;50;88;20.0;75
controller 72;830;100;36;70;17.0;75
controller 83;835;100;49;77;20.0;75
controller 72;845;100;36;68;20.0;75
controller 57;850;100;41;76;20.0;50
controller 83;854;100;47;85;20.0;75
controller 72;895;100;35;63;18.0;75
controller 83;897;100;44;59;18.0;75
controller 57;900;100;39;77;20.0;50
