controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 13;1;100;81;69;15.0;100
controller 51;2;100;92;53;13.0;100
controller 41;4;100;97;98;16.0;90
controller 51;15;100;92;54;18.0;100
controller 88;26;100;92;54;20.0;100
controller 13;59;100;80;87;16.0;100
controller 51;61;100;88;78;20.0;100
controller 88;155;100;69;79;18.0;100
controller 51;157;100;80;76;17.0;100
controller 13;160;100;77;79;19.0;100
controller 81;161;100;73;53;20.0;75
controller 71;163;100;71;82;20.0;75
controller 51;169;100;80;74;20.0;100
controller 13;185;30;74;77;16.0;100
controller 51;187;100;79;83;20.0;100
controller 13;225;100;71;81;20.0;100
controller 51;230;100;76;77;20.0;100
controller 41;245;100;88;91;20.0;90
controller 51;250;100;73;88;19.0;100
controller 41;276;100;85;82;14.0;90
controller 71;279;100;64;79;20.0;75
controller 51;281;100;71;71;19.0;100
controller 81;286;100;69;54;20.0;75
controller 51;294;100;69;81;20.0;100
controller 41;335;100;83;80;19.0;90
controller 51;340;100;62;95;20.0;100
controller 41;346;100;82;85;18.0;90
controller 71;350;100;60;84;20.0;75
controller 41;355;100;81;80;20.0;90
controller 87;363;100;47;85;20.0;90
controller 51;365;100;59;80;20.0;100
controller 41;373;100;80;89;19.0;90
controller 71;378;100;58;79;20.0;75
controller 51;380;100;58;75;18.0;100
controller 41;394;100;75;80;18.0;90
controller 51;401;100;56;80;16.0;100
controller 71;410;100;56;76;20.0;75
controller 35;415;100;67;59;18.0;60
controller 51;416;100;52;86;18.0;100
controller 82;418;100;63;51;20.0;75
controller 13;425;100;62;75;8.0;100
controller 35;427;100;67;86;20.0;60
controller 51;430;100;51;91;20.0;100
controller 88;435;100;33;72;20.0;100
controller 71;437;100;54;75;20.0;75
controller 47;440;100;45;83;17.0;90
controller 51;442;100;51;77;20.0;100
controller 41;445;100;71;86;18.0;90
controller 13;450;100;60;79;9.0;100
controller 35;452;100;66;77;17.0;60
controller 51;460;100;50;81;20.0;100
controller 13;462;100;59;92;18.0;100
controller 49;465;100;57;66;16.0;90
controller 35;467;100;66;79;18.0;60
controller 71;470;100;51;83;17.0;75
controller 51;473;100;49;82;20.0;100
controller 41;480;100;67;88;15.0;90
controller 35;486;100;66;91;20.0;60
controller 51;490;100;48;75;20.0;100
controller 82;510;100;59;60;20.0;75
controller 35;516;100;62;79;20.0;60
controller 51;519;100;44;88;20.0;100
controller 82;527;100;57;50;20.0;75
controller 41;529;100;66;87;20.0;90
controller 13;535;100;58;72;11.0;100
controller 71;537;100;51;93;20.0;75
controller 51;539;100;42;86;20.0;100
controller 13;560;100;56;93;14.0;100
controller 71;565;100;49;78;20.0;75
controller 13;569;100;56;73;18.0;100
controller 51;571;100;40;79;16.0;100
controller 41;576;100;64;85;16.0;90
controller 13;581;100;56;84;19.0;100
controller 51;587;100;38;80;17.0;100
controller 81;590;100;52;54;20.0;75
controller 71;595;100;48;70;20.0;75
controller 51;605;100;35;80;20.0;100
controller 13;611;100;54;81;17.0;100
controller 41;621;100;63;83;20.0;90
controller 51;623;100;34;69;20.0;100
controller 13;625;30;52;81;20.0;100
controller 71;627;100;40;70;19.0;75
controller 35;633;100;55;66;17.0;60
controller 22;635;10;37;83;19.0;100
controller 41;636;100;63;79;15.0;90
controller 13;640;100;50;97;17.0;100
controller 3;645;0;34;51;20.0;75
controller 51;646;100;32;79;17.0;100
controller 82;651;100;53;53;19.0;75
controller 13;653;100;50;81;20.0;100
controller 35;656;100;54;70;20.0;60
controller 71;660;100;40;88;19.0;75
controller 51;662;100;32;81;20.0;100
controller 82;665;100;53;67;20.0;75
controller 35;676;100;54;82;20.0;60
controller 13;680;10;49;94;19.0;100
controller 51;682;100;31;79;20.0;100
controller 24;685;100;56;60;15.0;60
controller 82;687;100;51;42;20.0;75
controller 24;690;100;56;53;20.0;60
controller 13;692;100;48;88;19.0;100
controller 35;695;100;53;58;19.0;60
controller 71;697;100;39;94;20.0;75
controller 51;703;100;31;84;20.0;100
controller 13;709;0;48;80;20.0;100
controller 35;711;100;53;51;20.0;60
controller 41;714;100;56;81;13.0;90
controller 24;716;100;56;53;18.0;60
controller 13;725;100;45;82;18.0;100
controller 71;736;100;39;89;20.0;75
controller 13;740;100;40;82;20.0;100
controller 51;742;100;29;86;16.0;100
controller 35;745;100;51;69;18.0;60
controller 13;750;100;40;77;20.0;100
controller 35;756;100;50;79;20.0;60
controller 51;760;100;29;80;18.0;100
controller 13;769;100;37;79;17.0;100
controller 35;771;100;49;70;20.0;60
controller 51;779;100;27;79;18.0;100
controller 41;794;100;53;79;18.0;90
controller 13;797;100;35;69;18.0;100
controller 71;805;100;34;79;20.0;75
controller 13;811;100;34;78;20.0;100
controller 41;815;100;51;92;16.0;90
controller 51;820;100;22;80;20.0;100
controller 35;822;100;45;85;20.0;60
controller 13;834;100;33;69;20.0;100
controller 71;840;100;34;79;20.0;75
controller 41;843;100;50;84;16.0;90
controller 51;845;100;20;67;20.0;100
controller 13;850;10;32;87;18.0;100
controller 41;855;30;49;74;20.0;90
controller 51;860;100;19;65;20.0;100
controller 13;865;0;29;77;19.0;100
controller 41;867;100;48;85;19.0;90
controller 71;874;100;32;84;20.0;75
controller 13;880;10;28;69;20.0;100
controller 41;890;100;44;81;19.0;90
controller 81;895;100;35;63;20.0;75
controller 51;899;100;19;91;20.0;100
