controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 30;1;99;98;62;25.954002;90
controller 62;4;99;98;81;31.974604;0
controller 31;72;99;93;88;15.378007;50
controller 54;85;99;93;85;10.837577;100
controller 62;90;97;92;85;10.110583;0
controller 40;94;99;67;83;13.185302;100
controller 23;107;100;78;93;31.974604;75
controller 22;110;99;72;83;31.974604;50
controller 54;124;100;91;85;11.260718;100
controller 7;137;98;34;64;31.974604;75
controller 9;141;100;50;20;27.356274;100
controller 94;148;98;53;82;2.6259015;100
controller 31;151;96;82;91;10.666533;50
controller 54;161;98;86;78;19.11312;100
controller 40;175;95;66;83;19.331085;100
controller 30;181;97;93;41;19.126537;90
controller 94;195;100;50;86;3.6687982;100
controller 62;202;100;86;55;11.261081;0
controller 54;215;95;84;80;7.8620405;100
controller 9;219;97;47;22;22.391088;100
controller 94;225;100;48;77;3.7529688;100
controller 31;230;99;77;40;14.56332;50
controller 40;237;100;63;67;4.0099673;100
controller 94;272;94;46;83;6.3408947;100
controller 54;280;97;81;79;9.116547;100
controller 23;289;100;67;91;31.974604;75
controller 9;292;100;43;26;22.63101;100
controller 30;295;97;88;8;8.724853;90
controller 42;311;92;87;15;31.974604;75
controller 13;314;95;47;79;31.974604;60
controller 94;343;95;43;77;5.954881;100
controller 42;354;99;86;15;34.364983;75
controller 32;381;96;46;82;18.77604;75
controller 40;391;97;54;80;1.9723386;100
controller 42;398;99;85;1;19.276762;75
controller 94;416;97;42;86;3.8210816;100
controller 30;502;99;75;8;18.45967;90
controller 32;507;97;41;69;31.974604;75
controller 94;510;88;38;81;2.7891254;100
controller 32;515;99;41;77;18.248888;75
controller 78;520;100;48;56;34.44397;60
controller 17;536;100;66;81;24.883919;75
controller 32;541;100;41;79;11.014273;75
controller 17;558;98;65;78;19.101404;75
controller 78;568;98;48;79;16.785364;60
controller 17;604;95;64;88;9.728328;75
controller 32;610;95;37;87;6.1029363;75
controller 68;613;98;44;8;24.588715;75
controller 32;630;98;35;54;31.974604;75
controller 17;636;100;61;78;12.701993;75
controller 32;643;97;35;50;11.119192;75
controller 78;656;100;43;81;22.292707;60
controller 32;680;94;33;89;5.364612;75
controller 9;685;99;11;22;31.974604;100
controller 17;688;96;58;79;20.927328;75
controller 44;695;100;30;77;11.652919;0
controller 32;698;99;33;95;31.974604;75
controller 17;726;97;55;62;15.012329;75
controller 9;729;96;11;24;36.26805;100
controller 78;733;100;40;96;11.15374;60
controller 30;749;93;58;17;31.974604;90
controller 21;756;97;19;95;18.733187;60
controller 17;762;98;54;77;9.979898;75
controller 68;767;100;26;0;35.414078;75
controller 40;777;94;27;81;2.0300157;100
controller 78;787;100;34;92;16.643694;60
controller 68;831;100;18;24;38.884644;75
controller 18;834;96;25;79;2.1551642;90
controller 78;844;97;28;86;9.973391;60
controller 44;857;100;25;83;10.352592;0
controller 18;875;99;24;76;31.974604;90
controller 40;889;100;17;70;31.974604;100
