controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 98;1;100;93;96;17.0;100
controller 1;17;100;72;92;20.0;100
controller 98;92;100;93;79;17.0;100
controller 1;95;100;72;100;18.0;100
controller 98;163;100;93;89;14.0;100
controller 34;186;100;95;86;17.0;75
controller 98;193;100;93;82;13.0;100
controller 77;200;100;62;85;20.0;100
controller 34;213;100;95;81;17.0;75
controller 98;218;100;93;87;16.0;100
controller 62;227;100;97;79;20.0;50
controller 46;231;100;94;83;14.0;50
controller 34;233;100;95;81;18.0;75
controller 98;249;100;93;92;16.0;100
controller 34;274;100;95;94;19.0;75
controller 70;280;100;77;65;16.0;75
controller 98;282;100;93;83;15.0;100
controller 3;327;100;94;98;20.0;60
controller 98;841;100;93;98;17.0;100
