controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 7;1;100;94;68;13.0;90
controller 11;388;100;73;78;20.0;100
controller 4;396;100;83;76;20.0;75
controller 6;419;100;89;88;20.0;90
controller 7;423;100;94;81;11.0;90
controller 11;464;100;73;82;20.0;100
controller 90;473;100;86;84;15.0;75
controller 86;478;100;91;79;15.0;90
controller 7;483;100;94;79;12.0;90
controller 11;649;100;73;72;19.0;100
controller 86;652;100;91;86;17.0;90
controller 7;654;100;94;76;10.0;90
controller 86;689;100;91;92;18.0;90
controller 4;705;100;83;71;15.0;75
controller 11;714;100;73;80;16.0;100
controller 86;720;100;91;81;19.0;90
controller 88;729;100;97;82;14.0;75
controller 7;731;100;94;74;5.0;90
controller 25;739;100;79;100;15.0;75
controller 86;753;100;91;85;19.0;90
controller 11;813;100;73;75;12.0;100
controller 86;831;100;91;79;16.0;90
controller 7;858;100;94;81;4.0;90
controller 98;871;100;99;89;20.0;60
controller 86;874;100;91;80;14.0;90
controller 25;886;100;79;57;14.0;75
controller 11;893;100;73;74;9.0;100
