node 1;node 2;node 3;node 4;node 5
307;507;486;67;106
302;507;476;67;106
297;507;476;73;105
302;507;476;77;102
323;507;476;77;102
323;507;466;77;102
323;507;461;77;101
323;507;461;91;101
328;507;440;100;101
328;492;440;106;101
338;471;435;102;101
338;415;435;102;106
338;415;435;96;106
338;410;435;96;106
338;410;425;97;111
312;394;425;92;111
312;394;425;91;111
379;404;425;83;111
384;404;425;83;114
374;404;425;95;114
374;404;415;97;114
374;440;425;97;114
348;440;394;97;118
343;440;394;99;104
343;440;430;99;109
343;456;374;108;109
353;456;374;108;111
343;404;374;108;111
343;399;374;108;111
328;394;374;116;111
328;415;430;122;111
328;415;430;122;106
328;394;430;122;109
297;394;440;120;104
271;358;389;120;104
271;353;389;120;96
271;343;389;120;102
292;348;379;119;102
292;323;415;123;95
292;323;415;123;95
292;292;415;123;96
292;292;430;123;96
292;292;430;123;96
241;292;425;125;96
241;292;425;125;96
241;282;415;125;111
241;287;415;118;111
241;256;394;118;119
241;271;394;109;118
241;271;394;109;118
241;312;384;109;114
230;312;384;109;114
230;323;384;109;110
215;307;384;106;106
215;307;435;106;105
220;307;435;111;93
220;307;425;110;93
225;302;425;110;91
225;302;425;106;91
225;317;399;108;113
179;317;420;108;113
164;338;410;108;113
184;410;410;108;113
184;415;410;100;113
184;410;410;100;113
159;394;410;102;113
159;394;410;118;113
113;394;410;118;113
113;410;430;118;106
108;404;456;118;106
108;404;435;118;106
108;399;435;115;106
113;399;435;115;105
113;410;399;105;105
108;410;404;105;105
108;410;410;102;102
108;410;410;102;102
108;404;410;102;104
102;404;394;102;97
123;389;394;100;100
123;389;456;100;100
123;389;492;100;100
123;420;492;104;101
102;425;486;106;101
92;420;486;106;106
92;420;486;106;106
92;420;481;106;102
92;410;481;106;102
92;461;481;106;102
92;492;481;104;102
108;466;425;104;113
97;466;425;104;110
97;471;425;91;110
97;471;425;77;82
92;497;384;77;82
108;497;410;77;61
108;497;410;77;61
113;497;410;74;61
113;497;389;76;61
113;497;415;70;64
195;497;379;78;64
195;497;389;91;64
195;497;389;91;64
195;497;389;99;64
230;497;389;99;59
230;497;282;104;59
230;497;297;104;61
230;497;297;104;61
230;497;297;104;65
256;481;297;102;65
241;481;323;109;65
241;481;343;105;68
241;481;343;113;82
241;471;343;113;82
205;471;343;113;82
205;471;338;115;76
210;456;338;115;77
225;456;338;115;77
225;456;323;115;79
225;456;323;115;79
225;410;323;115;84
225;410;323;91;87
189;379;333;90;87
189;374;333;90;87
102;333;333;90;88
102;338;338;90;93
92;343;338;91;95
92;353;338;92;95
92;302;338;96;102
92;302;369;96;102
87;287;374;96;102
87;292;369;93;102
67;236;358;93;102
67;256;384;97;106
56;256;384;97;108
56;287;384;97;108
56;276;394;97;108
82;276;394;99;106
82;271;394;99;105
92;271;394;99;105
92;271;394;99;105
92;292;394;84;110
113;256;394;84;110
113;256;435;82;111
113;292;410;81;108
113;292;410;81;108
148;292;420;81;108
148;292;420;81;108
133;292;420;81;108
246;292;420;81;108
271;312;399;82;108
271;312;404;79;108
271;312;435;79;108
271;312;435;82;108
266;256;415;79;113
266;256;415;83;111
266;236;404;83;106
266;266;404;83;106
266;246;404;91;110
251;225;404;91;110
251;241;404;77;110
251;333;471;77;110
230;333;445;77;110
230;333;440;77;118
230;333;430;77;120
220;333;435;78;120
230;333;435;78;120
230;353;435;77;116
230;312;435;77;113
230;343;435;76;106
205;338;420;82;106
205;338;420;81;104
220;338;384;81;104
236;328;384;77;104
236;271;384;84;95
246;276;486;84;95
251;276;471;84;95
230;276;471;76;95
246;276;471;73;97
241;271;466;73;92
215;271;451;73;92
215;271;481;73;92
205;271;461;72;92
205;271;471;72;92
205;271;471;77;95
241;271;471;77;99
241;271;486;77;99
230;282;471;77;99
230;282;471;77;104
230;287;471;77;101
230;287;471;77;101
230;287;471;61;101
210;287;471;55;104
195;287;471;58;99
195;287;471;58;100
205;287;471;58;91
215;297;471;58;91
225;297;471;58;96
184;307;502;55;96
184;302;502;55;97
184;302;502;60;97
184;302;476;60;100
159;297;471;63;102
154;297;466;63;102
154;297;445;63;102
133;297;445;63;105
133;297;445;63;105
128;297;440;63;105
113;297;440;63;105
113;297;445;65;104
138;297;445;56;104
143;307;445;56;104
143;307;445;56;102
143;307;445;56;102
143;307;466;56;104
143;297;466;56;104
138;297;420;56;104
138;297;420;60;106
138;297;420;60;106
148;292;420;60;106
143;307;420;60;105
174;307;420;60;105
154;312;410;61;101
154;312;420;64;102
159;323;415;64;108
159;323;415;59;108
138;323;394;59;108
138;312;476;59;108
138;312;471;67;108
133;312;440;58;84
143;312;430;58;84
128;282;425;58;87
128;282;425;58;92
128;261;425;52;99
148;287;425;56;110
159;287;410;56;110
159;384;410;56;111
159;379;430;56;111
189;379;430;63;111
189;379;430;63;118
189;379;430;63;114
184;384;430;63;124
164;384;425;63;124
179;384;415;63;125
184;384;415;63;122
184;384;415;65;125
184;384;420;73;122
184;399;420;73;119
128;399;420;72;116
133;389;420;72;116
133;389;420;76;90
133;389;420;79;92
133;389;420;79;120
133;404;420;79;120
123;410;410;79;113
123;451;410;86;109
123;456;430;87;97
138;456;430;88;99
143;471;430;88;100
143;415;430;88;100
143;415;374;88;100
133;404;374;84;100
133;404;399;88;100
128;404;399;88;100
128;476;384;77;100
169;476;389;77;100
169;445;420;77;105
169;445;389;77;104
174;466;425;81;109
174;466;415;81;109
159;456;410;79;109
159;430;430;86;109
159;440;410;96;111
159;440;410;86;110
159;394;410;86;97
159;404;410;84;97
159;399;430;84;97
159;410;430;84;97
159;410;430;83;97
159;410;430;83;97
123;410;430;83;97
154;379;430;83;97
154;415;420;83;97
154;435;420;83;100
164;435;420;91;113
154;343;420;90;113
154;323;420;90;114
154;323;420;91;110
154;323;420;91;110
154;343;420;93;104
154;343;425;93;104
154;348;425;93;104
154;364;425;88;101
154;364;399;84;101
143;394;410;84;101
102;410;410;79;106
92;410;410;81;106
82;410;410;81;106
82;410;471;81;106
72;410;471;81;106
72;410;471;81;106
72;410;456;81;106
56;389;440;81;101
56;358;435;81;104
46;364;435;81;104
46;358;440;77;104
46;343;440;84;104
46;343;440;91;104
46;343;471;87;123
46;343;471;87;120
67;343;471;87;115
67;343;471;99;114
61;338;435;101;114
61;358;435;99;115
61;451;435;99;115
61;445;425;99;115
61;445;425;100;114
61;425;425;102;110
61;420;425;102;110
56;420;425;102;109
56;374;425;114;109
56;374;425;114;109
56;374;399;125;109
56;399;389;116;105
56;410;389;116;97
56;415;389;116;97
56;410;389;116;97
56;425;430;127;97
56;425;430;127;97
56;389;430;125;101
56;399;461;127;101
56;394;461;127;101
56;394;461;127;116
41;394;410;127;115
41;384;420;127;115
61;369;420;124;115
41;358;404;124;115
41;415;404;124;115
20;399;430;124;115
20;399;394;123;115
20;399;394;123;115
10;399;425;125;114
10;394;415;118;111
10;394;364;115;111
5;358;364;119;100
5;358;353;127;100
0;358;353;123;102
0;374;353;122;102
5;374;353;122;102
20;369;353;122;102
51;379;364;122;102
67;379;364;122;102
67;374;364;120;105
67;364;374;120;100
67;364;374;120;100
67;364;374;120;100
67;364;379;122;100
67;389;297;122;102
67;374;297;122;102
67;374;282;122;102
67;374;282;118;102
77;374;292;106;102
102;369;292;106;102
102;369;302;96;102
102;369;323;108;102
102;369;358;108;102
102;369;369;108;102
102;369;369;113;102
102;358;369;113;102
102;358;364;114;102
72;369;364;114;102
72;369;364;106;102
72;379;369;106;102
72;379;374;110;114
51;379;374;110;114
46;379;425;110;114
46;379;425;104;109
46;379;394;104;109
46;389;425;105;109
72;389;425;105;109
31;389;415;105;109
31;379;374;102;109
31;374;384;99;106
31;369;358;102;101
31;369;369;114;108
15;384;394;114;108
15;364;410;114;108
20;364;410;113;108
20;343;415;113;104
20;343;415;113;104
20;338;430;119;104
20;353;389;116;104
20;394;389;116;104
0;394;389;116;105
0;394;389;116;105
0;425;389;116;104
0;410;394;116;86
0;410;394;116;99
20;410;430;116;100
20;410;430;116;100
20;410;430;109;100
31;410;430;110;100
31;410;430;118;96
97;410;430;118;96
72;404;430;111;96
118;404;425;111;99
118;404;425;122;111
118;404;420;122;108
118;404;420;122;108
118;404;420;122;108
113;404;415;109;108
113;404;394;109;110
113;410;394;109;110
113;415;399;116;109
113;435;399;118;102
113;404;445;123;102
92;404;420;96;108
92;404;420;97;108
61;404;420;97;108
61;420;415;97;108
41;435;410;97;115
41;420;415;102;110
36;420;415;104;110
41;420;415;90;110
20;420;415;93;110
10;420;415;93;102
20;420;415;93;104
20;420;415;96;102
26;420;415;84;109
31;404;492;86;105
10;404;492;86;105
5;425;492;88;105
5;425;492;91;105
5;389;492;79;105
5;399;492;79;105
5;358;492;74;108
5;358;492;74;108
5;358;492;84;108
0;358;492;84;106
0;358;492;84;106
0;353;492;87;106
0;364;492;87;106
61;338;486;87;95
67;338;486;87;93
67;353;486;87;99
67;364;451;83;99
67;404;420;83;99
67;445;420;83;100
61;445;379;79;101
36;445;379;84;101
15;456;379;86;100
20;456;379;86;100
20;451;389;83;100
20;451;389;83;101
61;451;389;83;101
61;445;374;83;101
61;445;338;79;100
61;445;338;73;100
67;440;338;73;101
36;435;364;73;101
36;435;333;74;101
36;435;333;73;109
5;435;333;73;109
5;435;333;73;109
5;435;333;73;114
5;435;364;73;91
5;435;358;73;91
5;435;389;77;91
5;435;389;60;91
5;435;440;65;91
15;435;415;67;95
20;440;415;67;96
20;420;415;67;96
20;415;379;67;96
15;415;317;67;96
15;415;379;67;100
15;410;369;69;111
10;410;369;69;108
26;420;369;69;108
26;420;364;69;108
26;420;364;78;97
46;420;374;79;102
72;348;374;81;102
82;302;374;81;101
77;292;374;81;101
87;323;374;86;101
82;328;374;92;108
82;374;379;92;108
82;374;379;93;108
67;374;404;100;106
61;374;404;100;106
46;374;404;100;106
46;374;410;100;102
46;374;420;100;99
41;374;420;100;99
41;389;420;106;99
46;410;420;106;106
67;410;420;91;106
51;425;451;91;106
51;425;451;90;106
51;425;420;83;106
92;425;410;86;106
92;394;425;90;106
92;394;410;90;108
92;369;410;95;108
61;369;415;95;108
67;369;410;93;93
67;369;410;93;93
67;369;410;104;93
67;369;420;105;99
67;369;420;105;101
67;364;420;113;101
67;364;430;113;101
67;364;425;111;101
51;364;425;111;101
51;364;415;111;101
51;364;415;111;101
20;364;415;113;101
20;374;410;113;101
20;374;410;113;100
0;374;425;108;102
10;358;420;108;102
15;358;420;108;102
15;358;420;108;102
15;358;425;108;102
15;358;425;108;102
20;358;425;119;120
41;404;425;119;120
41;404;425;119;122
15;404;415;119;122
15;410;415;119;114
26;394;430;118;114
26;394;430;123;114
26;410;466;123;114
26;410;456;119;114
26;425;456;111;115
26;425;456;110;109
26;425;440;109;109
41;425;435;109;106
41;430;440;109;106
41;430;440;109;106
36;420;440;111;100
51;420;440;111;100
51;440;440;111;100
51;440;481;111;115
72;430;461;111;115
61;430;471;108;114
77;445;466;101;113
92;445;466;101;111
87;445;435;100;111
26;445;435;104;109
31;445;466;96;100
31;445;466;96;106
31;445;445;99;104
31;425;415;99;104
31;374;394;99;100
31;394;394;96;100
0;394;394;88;108
5;399;394;88;108
5;404;394;88;106
5;410;358;91;106
5;410;358;91;106
20;440;358;91;109
20;430;364;91;109
5;430;364;101;110
5;430;369;101;110
61;430;389;100;110
61;435;410;100;110
92;399;466;100;101
61;399;461;100;104
61;399;461;96;101
61;374;440;96;101
61;379;440;97;101
41;379;425;97;101
41;389;353;97;105
41;389;353;97;105
41;364;312;97;105
51;364;307;104;102
51;364;317;104;105
51;374;343;104;104
46;379;292;109;104
10;379;292;109;104
15;379;297;97;102
15;379;353;97;106
15;364;353;101;104
15;369;374;101;100
15;353;374;101;101
5;353;374;99;79
5;353;338;81;79
20;353;338;81;82
10;374;338;81;83
15;374;343;81;86
15;399;343;81;92
15;399;343;81;100
0;399;369;79;100
