node 1;node 2;node 3;node 4;node 5
75;82;60;78;77
75;82;60;78;77
75;82;60;78;77
75;82;60;78;77
75;82;60;78;77
85;92;91;100;86
85;92;91;100;86
85;92;91;100;86
85;92;91;100;86
85;92;91;100;86
90;100;85;82;79
90;100;85;82;79
90;100;85;82;79
90;100;85;82;79
90;100;85;82;79
100;89;89;95;70
100;89;89;95;70
100;89;89;95;70
100;89;89;95;70
100;89;89;95;70
93;89;56;85;77
93;89;56;85;77
93;89;56;85;77
93;89;56;85;77
93;89;56;85;77
99;97;94;88;63
99;97;94;88;63
99;97;94;88;63
99;97;94;88;63
99;97;94;88;63
100;88;70;98;76
100;88;70;98;76
100;88;70;98;76
100;88;70;98;76
100;88;70;98;76
83;82;94;93;53
83;82;94;93;53
83;82;94;93;53
83;82;94;93;53
83;82;94;93;53
91;83;81;94;74
91;83;81;94;74
91;83;81;94;74
91;83;81;94;74
91;83;81;94;74
74;73;89;94;50
74;73;89;94;50
74;73;89;94;50
74;73;89;94;50
74;73;89;94;50
96;83;88;95;69
96;83;88;95;69
96;83;88;95;69
96;83;88;95;69
96;83;88;95;69
67;73;89;100;37
67;73;89;100;37
67;73;89;100;37
67;73;89;100;37
67;73;89;100;37
92;84;96;98;66
92;84;96;98;66
92;84;96;98;66
92;84;96;98;66
92;84;96;98;66
68;80;100;90;45
68;80;100;90;45
68;80;100;90;45
68;80;100;90;45
68;80;100;90;45
91;69;82;99;53
91;69;82;99;53
91;69;82;99;53
91;69;82;99;53
91;69;82;99;53
48;94;82;88;28
48;94;82;88;28
48;94;82;88;28
48;94;82;88;28
48;94;82;88;28
91;78;90;98;45
91;78;90;98;45
91;78;90;98;45
91;78;90;98;45
91;78;90;98;45
44;85;100;93;21
44;85;100;93;21
44;85;100;93;21
44;85;100;93;21
44;85;100;93;21
89;86;83;96;30
89;86;83;96;30
89;86;83;96;30
89;86;83;96;30
89;86;83;96;30
57;89;96;97;11
57;89;96;97;11
57;89;96;97;11
57;89;96;97;11
57;89;96;97;11
99;86;80;97;33
99;86;80;97;33
99;86;80;97;33
99;86;80;97;33
99;86;80;97;33
46;78;95;98;30
46;78;95;98;30
46;78;95;98;30
46;78;95;98;30
46;78;95;98;30
99;79;71;98;21
99;79;71;98;21
99;79;71;98;21
99;79;71;98;21
99;79;71;98;21
40;90;98;94;22
40;90;98;94;22
40;90;98;94;22
40;90;98;94;22
40;90;98;94;22
96;81;78;97;17
96;81;78;97;17
96;81;78;97;17
96;81;78;97;17
96;81;78;97;17
46;90;98;97;30
46;90;98;97;30
46;90;98;97;30
46;90;98;97;30
46;90;98;97;30
98;59;81;99;24
98;59;81;99;24
98;59;81;99;24
98;59;81;99;24
98;59;81;99;24
55;91;96;91;28
55;91;96;91;28
55;91;96;91;28
55;91;96;91;28
55;91;96;91;28
99;61;97;99;28
99;61;97;99;28
99;61;97;99;28
99;61;97;99;28
99;61;97;99;28
60;74;95;91;27
60;74;95;91;27
60;74;95;91;27
60;74;95;91;27
60;74;95;91;27
99;54;96;87;39
99;54;96;87;39
99;54;96;87;39
99;54;96;87;39
99;54;96;87;39
57;60;99;91;32
57;60;99;91;32
57;60;99;91;32
57;60;99;91;32
57;60;99;91;32
99;53;96;95;49
99;53;96;95;49
99;53;96;95;49
99;53;96;95;49
99;53;96;95;49
51;64;97;82;42
51;64;97;82;42
51;64;97;82;42
51;64;97;82;42
51;64;97;82;42
94;52;97;92;52
94;52;97;92;52
94;52;97;92;52
94;52;97;92;52
94;52;97;92;52
89;69;99;77;45
89;69;99;77;45
89;69;99;77;45
89;69;99;77;45
89;69;99;77;45
91;42;100;98;58
91;42;100;98;58
91;42;100;98;58
91;42;100;98;58
91;42;100;98;58
91;64;100;75;56
91;64;100;75;56
91;64;100;75;56
91;64;100;75;56
91;64;100;75;56
98;32;98;94;48
98;32;98;94;48
98;32;98;94;48
98;32;98;94;48
98;32;98;94;48
94;70;100;64;63
94;70;100;64;63
94;70;100;64;63
94;70;100;64;63
94;70;100;64;63
81;30;86;99;60
81;30;86;99;60
81;30;86;99;60
81;30;86;99;60
81;30;86;99;60
94;58;98;70;58
94;58;98;70;58
94;58;98;70;58
94;58;98;70;58
94;58;98;70;58
88;14;77;97;65
88;14;77;97;65
88;14;77;97;65
88;14;77;97;65
88;14;77;97;65
97;59;90;76;44
97;59;90;76;44
97;59;90;76;44
97;59;90;76;44
97;59;90;76;44
90;6;89;99;59
