node 1;node 2;node 3;node 4;node 5
54;95;99;89;52
54;95;99;89;52
54;95;99;89;52
54;95;99;89;52
54;95;99;89;52
98;92;99;93;91
98;92;99;93;91
98;92;99;93;91
98;92;99;93;91
98;92;99;93;91
68;100;100;92;66
68;100;100;92;66
68;100;100;92;66
68;100;100;92;66
68;100;100;92;66
97;85;98;85;97
97;85;98;85;97
97;85;98;85;97
97;85;98;85;97
97;85;98;85;97
76;88;92;95;71
76;88;92;95;71
76;88;92;95;71
76;88;92;95;71
76;88;92;95;71
97;90;97;71;92
97;90;97;71;92
97;90;97;71;92
97;90;97;71;92
97;90;97;71;92
67;96;100;83;81
67;96;100;83;81
67;96;100;83;81
67;96;100;83;81
67;96;100;83;81
96;95;92;78;94
96;95;92;78;94
96;95;92;78;94
96;95;92;78;94
96;95;92;78;94
69;100;93;69;88
69;100;93;69;88
69;100;93;69;88
69;100;93;69;88
69;100;93;69;88
79;86;94;74;93
79;86;94;74;93
79;86;94;74;93
79;86;94;74;93
79;86;94;74;93
79;93;95;74;75
79;93;95;74;75
79;93;95;74;75
79;93;95;74;75
79;93;95;74;75
87;81;95;73;88
87;81;95;73;88
87;81;95;73;88
87;81;95;73;88
87;81;95;73;88
89;92;82;72;63
89;92;82;72;63
89;92;82;72;63
89;92;82;72;63
89;92;82;72;63
74;56;91;47;74
74;56;91;47;74
74;56;91;47;74
74;56;91;47;74
74;56;91;47;74
95;95;83;83;54
95;95;83;83;54
95;95;83;83;54
95;95;83;83;54
95;95;83;83;54
80;51;91;43;70
80;51;91;43;70
80;51;91;43;70
80;51;91;43;70
80;51;91;43;70
71;88;91;92;63
71;88;91;92;63
71;88;91;92;63
71;88;91;92;63
71;88;91;92;63
81;41;98;46;76
81;41;98;46;76
81;41;98;46;76
81;41;98;46;76
81;41;98;46;76
67;77;93;83;74
67;77;93;83;74
67;77;93;83;74
67;77;93;83;74
67;77;93;83;74
85;42;94;51;65
85;42;94;51;65
85;42;94;51;65
85;42;94;51;65
85;42;94;51;65
51;69;95;82;72
51;69;95;82;72
51;69;95;82;72
51;69;95;82;72
51;69;95;82;72
93;58;93;46;42
93;58;93;46;42
93;58;93;46;42
93;58;93;46;42
93;58;93;46;42
43;63;99;91;74
43;63;99;91;74
43;63;99;91;74
43;63;99;91;74
43;63;99;91;74
98;66;79;60;45
98;66;79;60;45
98;66;79;60;45
98;66;79;60;45
98;66;79;60;45
44;85;89;91;67
44;85;89;91;67
44;85;89;91;67
44;85;89;91;67
44;85;89;91;67
84;72;92;74;50
84;72;92;74;50
84;72;92;74;50
84;72;92;74;50
84;72;92;74;50
80;85;72;90;62
80;85;72;90;62
80;85;72;90;62
80;85;72;90;62
80;85;72;90;62
87;73;91;65;50
87;73;91;65;50
87;73;91;65;50
87;73;91;65;50
87;73;91;65;50
67;75;59;77;77
67;75;59;77;77
67;75;59;77;77
67;75;59;77;77
67;75;59;77;77
81;82;93;69;58
81;82;93;69;58
81;82;93;69;58
81;82;93;69;58
81;82;93;69;58
89;73;50;84;75
89;73;50;84;75
89;73;50;84;75
89;73;50;84;75
89;73;50;84;75
85;81;84;64;69
85;81;84;64;69
85;81;84;64;69
85;81;84;64;69
85;81;84;64;69
81;64;86;62;95
81;64;86;62;95
81;64;86;62;95
81;64;86;62;95
81;64;86;62;95
80;68;80;69;76
80;68;80;69;76
80;68;80;69;76
80;68;80;69;76
80;68;80;69;76
80;74;71;49;98
80;74;71;49;98
80;74;71;49;98
80;74;71;49;98
80;74;71;49;98
85;60;89;70;79
85;60;89;70;79
85;60;89;70;79
85;60;89;70;79
85;60;89;70;79
66;80;70;51;93
66;80;70;51;93
66;80;70;51;93
66;80;70;51;93
66;80;70;51;93
84;57;83;67;77
84;57;83;67;77
84;57;83;67;77
84;57;83;67;77
84;57;83;67;77
68;83;56;67;85
68;83;56;67;85
68;83;56;67;85
68;83;56;67;85
68;83;56;67;85
74;65;89;53;81
74;65;89;53;81
74;65;89;53;81
74;65;89;53;81
74;65;89;53;81
78;89;40;69;92
78;89;40;69;92
78;89;40;69;92
78;89;40;69;92
78;89;40;69;92
75;62;80;54;82
75;62;80;54;82
75;62;80;54;82
75;62;80;54;82
75;62;80;54;82
88;90;48;63;76
88;90;48;63;76
88;90;48;63;76
