controller;battery;memory_avaliable;total_memory_avaliable
controller 71;93;78;1597
controller 71;93;80;1638
controller 71;93;91;1864
controller 71;93;89;1823
controller 71;93;89;1823
controller 71;93;89;1823
controller 71;93;88;1802
controller 71;93;83;1700
controller 71;93;77;1577
controller 71;93;77;1577
controller 71;93;77;1577
controller 71;93;77;1577
controller 71;93;77;1577
controller 71;93;79;1618
controller 71;93;83;1700
controller 71;93;83;1700
controller 71;93;83;1700
controller 71;93;77;1577
controller 71;93;67;1372
controller 71;93;77;1577
controller 71;93;77;1577
controller 71;93;77;1577
controller 71;93;69;1413
controller 71;93;70;1434
controller 71;93;70;1434
controller 71;93;75;1536
controller 71;93;75;1536
controller 71;93;78;1597
controller 71;93;72;1475
controller 71;93;75;1536
controller 71;93;79;1618
controller 71;93;86;1761
controller 71;93;83;1700
controller 71;93;82;1679
controller 71;93;82;1679
controller 71;93;80;1638
controller 71;93;80;1638
controller 71;93;95;1946
controller 71;93;95;1946
controller 71;93;93;1905
controller 71;93;93;1905
controller 71;93;93;1905
controller 71;93;93;1905
controller 71;93;93;1905
controller 71;93;93;1905
controller 71;93;93;1905
controller 71;93;93;1905
controller 71;93;91;1864
controller 71;93;91;1864
controller 71;93;99;2028
controller 71;93;99;2028
controller 71;93;92;1884
controller 71;93;90;1843
controller 71;93;88;1802
controller 71;93;86;1761
controller 71;93;86;1761
controller 71;93;86;1761
controller 71;93;81;1659
controller 71;93;80;1638
controller 71;93;82;1679
controller 71;93;82;1679
controller 71;93;82;1679
controller 71;93;82;1679
controller 71;93;82;1679
controller 71;93;80;1638
controller 71;93;81;1659
controller 71;93;61;1249
controller 71;93;61;1249
controller 71;93;61;1249
controller 71;93;62;1270
controller 71;93;62;1270
controller 71;93;62;1270
controller 71;93;63;1290
controller 71;93;65;1331
controller 71;93;73;1495
controller 71;93;75;1536
controller 71;93;75;1536
controller 71;93;76;1556
controller 71;93;77;1577
controller 71;93;77;1577
controller 71;93;77;1577
controller 71;93;82;1679
controller 71;93;79;1618
controller 71;93;81;1659
controller 71;93;81;1659
controller 71;93;80;1638
controller 71;93;80;1638
controller 71;93;83;1700
controller 71;93;83;1700
controller 71;93;82;1679
controller 71;93;82;1679
controller 71;93;82;1679
controller 71;93;82;1679
controller 71;93;82;1679
controller 71;93;78;1597
controller 71;93;86;1761
controller 71;93;86;1761
controller 71;93;82;1679
controller 71;93;82;1679
controller 71;93;82;1679
controller 71;93;81;1659
controller 71;93;81;1659
controller 71;93;74;1516
controller 71;93;78;1597
controller 71;93;78;1597
controller 71;93;79;1618
controller 71;93;85;1741
controller 71;93;84;1720
controller 71;93;92;1884
controller 71;93;95;1946
controller 71;93;95;1946
controller 71;93;94;1925
controller 71;93;93;1905
controller 71;93;96;1966
controller 71;93;96;1966
controller 71;93;96;1966
controller 71;93;93;1905
controller 71;93;89;1823
controller 71;93;89;1823
controller 71;93;89;1823
controller 71;93;88;1802
controller 71;93;88;1802
controller 71;93;87;1782
controller 71;93;87;1782
controller 71;93;87;1782
controller 71;93;87;1782
controller 71;93;87;1782
controller 71;93;91;1864
controller 71;93;91;1864
controller 71;93;91;1864
controller 71;93;100;2048
controller 71;93;96;1966
controller 71;93;96;1966
controller 71;93;94;1925
controller 71;93;94;1925
controller 71;93;97;1987
controller 71;93;97;1987
controller 71;93;96;1966
controller 71;93;97;1987
controller 71;93;93;1905
controller 71;93;93;1905
controller 71;93;93;1905
controller 71;93;93;1905
controller 71;93;100;2048
controller 71;93;100;2048
controller 71;93;99;2028
controller 71;93;95;1946
controller 71;93;95;1946
controller 71;93;96;1966
controller 71;93;91;1864
controller 71;93;89;1823
controller 71;93;86;1761
controller 71;93;80;1638
controller 71;93;80;1638
controller 71;93;83;1700
controller 71;93;84;1720
controller 71;93;83;1700
controller 71;93;82;1679
controller 71;93;82;1679
controller 71;93;81;1659
controller 71;93;81;1659
controller 71;93;73;1495
controller 71;93;73;1495
controller 71;93;75;1536
controller 71;93;82;1679
controller 71;93;82;1679
controller 71;93;82;1679
controller 71;93;79;1618
controller 71;93;79;1618
controller 71;93;79;1618
controller 71;93;80;1638
controller 71;93;83;1700
controller 71;93;83;1700
controller 71;93;83;1700
controller 71;93;88;1802
controller 71;93;90;1843
controller 71;93;90;1843
controller 71;93;90;1843
controller 71;93;90;1843
controller 71;93;90;1843
controller 71;93;87;1782
controller 71;93;87;1782
controller 71;93;87;1782
controller 71;93;87;1782
controller 71;93;87;1782
controller 71;93;86;1761
controller 71;93;86;1761
controller 71;93;83;1700
controller 71;93;83;1700
controller 71;93;81;1659
controller 71;93;80;1638
controller 71;93;80;1638
controller 71;93;80;1638
controller 71;93;80;1638
controller 71;93;80;1638
controller 71;93;86;1761
controller 71;93;86;1761
controller 71;93;91;1864
controller 71;93;91;1864
controller 71;93;91;1864
controller 71;93;89;1823
controller 71;93;89;1823
controller 71;93;89;1823
controller 71;93;89;1823
controller 71;93;87;1782
controller 71;93;67;1372
controller 71;93;67;1372
controller 71;93;77;1577
controller 71;93;77;1577
controller 71;93;77;1577
controller 71;93;91;1864
controller 71;93;89;1823
controller 71;93;86;1761
controller 71;93;86;1761
controller 71;93;86;1761
controller 71;93;86;1761
controller 71;93;86;1761
controller 71;93;72;1475
controller 71;93;72;1475
