controller;battery;memory_avaliable;total_memory_avaliable
controller 33;90;79;1618
controller 33;90;79;1618
controller 33;90;79;1618
controller 33;90;80;1638
controller 33;90;82;1679
controller 33;90;89;1823
controller 33;90;72;1475
controller 33;90;72;1475
controller 33;90;70;1434
controller 33;90;70;1434
controller 33;90;70;1434
controller 33;90;70;1434
controller 33;90;75;1536
controller 33;90;76;1556
controller 33;90;75;1536
controller 33;90;79;1618
controller 33;90;79;1618
controller 33;90;79;1618
controller 33;90;79;1618
controller 33;90;79;1618
controller 33;90;79;1618
controller 33;90;85;1741
controller 33;90;85;1741
controller 33;90;78;1597
controller 33;90;78;1597
controller 33;90;77;1577
controller 33;90;77;1577
controller 33;90;77;1577
controller 33;90;80;1638
controller 33;90;80;1638
controller 33;90;86;1761
controller 33;90;87;1782
controller 33;90;84;1720
controller 33;90;84;1720
controller 33;90;84;1720
controller 33;90;76;1556
controller 33;90;82;1679
controller 33;90;82;1679
controller 33;90;81;1659
controller 33;90;75;1536
controller 33;90;75;1536
controller 33;90;76;1556
controller 33;90;85;1741
controller 33;90;85;1741
controller 33;90;85;1741
controller 33;90;86;1761
controller 33;90;86;1761
controller 33;90;81;1659
controller 33;90;71;1454
controller 33;90;71;1454
controller 33;90;73;1495
controller 33;90;91;1864
controller 33;90;91;1864
controller 33;90;86;1761
controller 33;90;97;1987
controller 33;90;97;1987
controller 33;90;94;1925
controller 33;90;94;1925
controller 33;90;93;1905
controller 33;90;93;1905
controller 33;90;93;1905
controller 33;90;93;1905
controller 33;90;92;1884
controller 33;90;92;1884
controller 33;90;88;1802
controller 33;90;80;1638
controller 33;90;80;1638
controller 33;90;81;1659
controller 33;90;81;1659
controller 33;90;89;1823
controller 33;90;89;1823
controller 33;90;82;1679
controller 33;90;82;1679
controller 33;90;82;1679
controller 33;90;82;1679
controller 33;90;81;1659
controller 33;90;80;1638
controller 33;90;80;1638
controller 33;90;81;1659
controller 33;90;77;1577
controller 33;90;77;1577
controller 33;90;77;1577
controller 33;90;77;1577
controller 33;90;84;1720
controller 33;90;84;1720
controller 33;90;81;1659
controller 33;90;75;1536
controller 33;90;78;1597
controller 33;90;84;1720
controller 33;90;84;1720
controller 33;90;82;1679
controller 33;90;82;1679
controller 33;90;82;1679
controller 33;90;82;1679
controller 33;90;82;1679
controller 33;90;82;1679
controller 33;90;82;1679
controller 33;90;77;1577
controller 33;90;77;1577
controller 33;90;77;1577
controller 33;90;77;1577
controller 33;90;77;1577
controller 33;90;80;1638
controller 33;90;83;1700
controller 33;90;81;1659
controller 33;90;81;1659
controller 33;90;84;1720
controller 33;90;72;1475
controller 33;90;86;1761
controller 33;90;86;1761
controller 33;90;89;1823
controller 33;90;89;1823
controller 33;90;90;1843
controller 33;90;89;1823
controller 33;90;88;1802
controller 33;90;91;1864
controller 33;90;91;1864
controller 33;90;91;1864
controller 33;90;89;1823
controller 33;90;91;1864
controller 33;90;91;1864
controller 33;90;90;1843
controller 33;90;90;1843
controller 33;90;93;1905
controller 33;90;93;1905
controller 33;90;91;1864
controller 33;90;91;1864
controller 33;90;94;1925
controller 33;90;94;1925
controller 33;90;94;1925
controller 33;90;94;1925
controller 33;90;94;1925
controller 33;90;91;1864
controller 33;90;90;1843
controller 33;90;90;1843
controller 33;90;89;1823
controller 33;90;93;1905
controller 33;90;93;1905
controller 33;90;93;1905
controller 33;90;97;1987
controller 33;90;95;1946
controller 33;90;94;1925
controller 33;90;92;1884
controller 33;90;91;1864
controller 33;90;91;1864
controller 33;90;91;1864
controller 33;90;91;1864
controller 33;90;77;1577
controller 33;90;77;1577
controller 33;90;77;1577
controller 33;90;77;1577
controller 33;90;78;1597
controller 33;90;78;1597
controller 33;90;78;1597
controller 33;90;78;1597
controller 33;90;75;1536
controller 33;90;75;1536
controller 33;90;77;1577
controller 33;90;79;1618
controller 33;90;82;1679
controller 33;90;82;1679
controller 33;90;76;1556
controller 33;90;83;1700
controller 33;90;78;1597
controller 33;90;77;1577
controller 33;90;78;1597
controller 33;90;78;1597
controller 33;90;80;1638
controller 33;90;80;1638
controller 33;90;81;1659
controller 33;90;81;1659
controller 33;90;80;1638
controller 33;90;77;1577
controller 33;90;83;1700
controller 33;90;93;1905
controller 33;90;88;1802
controller 33;90;88;1802
controller 33;90;83;1700
controller 33;90;83;1700
controller 33;90;75;1536
controller 33;90;67;1372
controller 33;90;67;1372
controller 33;90;74;1516
controller 33;90;79;1618
controller 33;90;79;1618
controller 33;90;79;1618
controller 33;90;85;1741
controller 33;90;83;1700
controller 33;90;83;1700
controller 33;90;83;1700
controller 33;90;83;1700
controller 33;90;79;1618
controller 33;90;79;1618
controller 33;90;79;1618
controller 33;90;79;1618
controller 33;90;79;1618
controller 33;90;79;1618
controller 33;90;79;1618
controller 33;90;79;1618
controller 33;90;91;1864
controller 33;90;91;1864
controller 33;90;91;1864
controller 33;90;85;1741
controller 33;90;85;1741
controller 33;90;85;1741
controller 33;90;78;1597
controller 33;90;87;1782
controller 33;90;82;1679
controller 33;90;71;1454
controller 33;90;77;1577
controller 33;90;64;1311
controller 97;99;98;1004
controller 97;99;98;1004
controller 97;99;98;1004
controller 97;99;97;993
controller 97;99;97;993
controller 97;99;97;993
controller 97;99;98;1004
controller 97;99;98;1004
controller 97;99;98;1004
controller 97;99;98;1004
controller 97;99;98;1004
controller 97;99;98;1004
controller 97;99;98;1004
controller 97;99;98;1004
controller 97;99;98;1004
controller 97;99;95;973
controller 97;99;84;860
controller 97;99;79;809
controller 97;99;79;809
controller 33;90;80;1638
controller 33;90;86;1761
controller 33;90;86;1761
controller 33;90;86;1761
controller 33;90;83;1700
controller 33;90;84;1720
controller 33;90;84;1720
controller 33;90;84;1720
controller 33;90;84;1720
controller 33;90;79;1618
controller 33;90;78;1597
controller 33;90;78;1597
controller 33;90;78;1597
controller 33;90;78;1597
controller 33;90;78;1597
controller 33;90;78;1597
controller 33;90;78;1597
controller 33;90;78;1597
controller 33;90;76;1556
controller 33;90;76;1556
controller 33;90;76;1556
controller 33;90;76;1556
controller 33;90;76;1556
controller 33;90;76;1556
controller 33;90;76;1556
controller 33;90;76;1556
controller 33;90;73;1495
controller 33;90;73;1495
controller 33;90;73;1495
controller 33;90;77;1577
controller 33;90;80;1638
controller 33;90;80;1638
controller 33;90;80;1638
controller 33;90;80;1638
controller 33;90;80;1638
controller 33;90;83;1700
controller 33;90;83;1700
controller 33;90;86;1761
controller 33;90;86;1761
controller 33;90;86;1761
controller 33;90;84;1720
controller 33;90;81;1659
controller 33;90;84;1720
controller 33;90;84;1720
controller 33;90;76;1556
controller 33;90;79;1618
controller 33;90;70;1434
controller 33;90;73;1495
controller 33;90;76;1556
controller 33;90;78;1597
controller 33;90;78;1597
controller 33;90;78;1597
controller 33;90;78;1597
controller 33;90;78;1597
controller 33;90;78;1597
controller 33;90;78;1597
controller 33;90;81;1659
controller 33;90;81;1659
controller 33;90;81;1659
controller 33;90;79;1618
controller 33;90;79;1618
controller 33;90;79;1618
controller 33;90;86;1761
controller 33;90;86;1761
controller 33;90;86;1761
controller 33;90;86;1761
controller 33;90;83;1700
controller 33;90;83;1700
controller 33;90;83;1700
controller 33;90;82;1679
controller 33;90;71;1454
controller 33;90;71;1454
controller 33;90;71;1454
controller 33;90;71;1454
controller 33;90;70;1434
controller 33;90;70;1434
controller 33;90;69;1413
controller 33;90;72;1475
controller 33;90;71;1454
controller 33;90;84;1720
controller 33;90;84;1720
controller 33;90;79;1618
controller 33;90;80;1638
controller 33;90;80;1638
controller 33;90;80;1638
controller 33;90;80;1638
controller 33;90;78;1597
controller 33;90;83;1700
controller 33;90;75;1536
controller 33;90;75;1536
controller 33;90;82;1679
controller 33;90;82;1679
controller 33;90;82;1679
controller 33;90;82;1679
controller 33;90;77;1577
controller 33;90;77;1577
controller 33;90;78;1597
controller 33;90;78;1597
controller 33;90;79;1618
controller 33;90;94;1925
controller 97;99;81;829
controller 97;99;77;788
controller 97;99;79;809
controller 97;99;79;809
controller 97;99;79;809
controller 97;99;79;809
controller 97;99;79;809
controller 97;99;82;840
controller 97;99;82;840
controller 97;99;86;881
controller 97;99;84;860
controller 97;99;85;870
controller 97;99;85;870
controller 97;99;75;768
controller 84;70;79;1618
controller 84;70;79;1618
controller 84;70;68;1393
controller 84;70;66;1352
controller 84;70;66;1352
controller 84;70;68;1393
controller 84;70;68;1393
controller 84;70;68;1393
controller 84;70;74;1516
controller 84;70;72;1475
controller 84;70;72;1475
controller 84;70;80;1638
controller 84;70;80;1638
controller 84;70;80;1638
controller 84;70;80;1638
controller 84;70;80;1638
controller 84;70;80;1638
controller 84;70;80;1638
controller 84;70;73;1495
controller 84;70;73;1495
controller 84;70;73;1495
controller 84;70;73;1495
controller 97;99;79;809
controller 97;99;80;819
controller 97;99;84;860
controller 97;99;84;860
controller 97;99;84;860
controller 97;99;84;860
controller 97;99;85;870
controller 97;99;85;870
controller 97;99;84;860
controller 97;99;83;850
controller 97;99;83;850
controller 97;99;78;799
controller 84;70;89;1823
controller 84;70;89;1823
controller 84;70;89;1823
controller 84;70;86;1761
controller 84;70;86;1761
controller 84;70;86;1761
controller 84;70;88;1802
controller 84;70;88;1802
controller 84;70;88;1802
controller 84;70;89;1823
controller 84;70;89;1823
controller 84;70;89;1823
controller 84;70;90;1843
controller 84;70;90;1843
controller 97;99;98;1004
controller 97;99;98;1004
controller 97;99;99;1014
controller 97;99;99;1014
controller 97;99;98;1004
controller 97;99;98;1004
controller 97;99;98;1004
controller 97;99;98;1004
controller 97;99;96;983
controller 97;99;96;983
controller 97;99;96;983
controller 97;99;96;983
controller 97;99;94;963
controller 97;99;94;963
controller 97;99;94;963
controller 97;99;97;993
controller 97;99;94;963
controller 97;99;93;952
controller 97;99;93;952
controller 97;99;93;952
controller 97;99;96;983
controller 97;99;93;952
controller 33;90;82;1679
controller 33;90;81;1659
controller 33;90;81;1659
controller 33;90;81;1659
controller 33;90;81;1659
controller 33;90;84;1720
controller 33;90;84;1720
controller 33;90;80;1638
controller 33;90;80;1638
controller 33;90;80;1638
controller 84;70;69;1413
controller 84;70;69;1413
controller 84;70;69;1413
controller 84;70;54;1106
controller 84;70;54;1106
controller 84;70;54;1106
controller 84;70;55;1126
controller 84;70;55;1126
controller 84;70;51;1044
controller 97;99;81;829
controller 97;99;81;829
controller 97;99;80;819
controller 97;99;80;819
controller 97;99;96;983
controller 97;99;90;922
controller 97;99;90;922
controller 97;99;87;891
controller 97;99;87;891
controller 97;99;87;891
controller 97;99;87;891
controller 97;99;87;891
controller 97;99;93;952
controller 97;99;93;952
controller 97;99;93;952
controller 97;99;87;891
controller 97;99;88;901
controller 97;99;89;911
controller 97;99;90;922
controller 97;99;90;922
controller 97;99;96;983
controller 97;99;94;963
controller 97;99;90;922
controller 97;99;90;922
controller 97;99;90;922
controller 97;99;89;911
controller 97;99;86;881
controller 97;99;85;870
controller 97;99;85;870
controller 97;99;85;870
controller 97;99;85;870
controller 97;99;79;809
controller 97;99;77;788
controller 84;70;59;1208
controller 97;99;81;829
controller 97;99;80;819
controller 9;88;41;420
controller 9;88;41;420
controller 9;88;41;420
