controller;battery;memory_avaliable;total_memory_avaliable
controller 64;98;75;1536
controller 64;98;76;1556
controller 64;98;83;1700
controller 64;98;82;1679
controller 64;98;80;1638
controller 64;98;79;1618
controller 64;98;80;1638
controller 64;98;85;1741
controller 64;98;77;1577
controller 64;98;80;1638
controller 64;98;82;1679
controller 64;98;79;1618
controller 64;98;81;1659
controller 64;98;81;1659
controller 64;98;81;1659
controller 64;98;81;1659
controller 20;100;86;1761
controller 20;100;80;1638
controller 20;100;80;1638
controller 20;100;80;1638
controller 20;100;80;1638
controller 20;100;80;1638
controller 20;100;80;1638
controller 20;100;80;1638
controller 20;100;79;1618
controller 20;100;79;1618
controller 20;100;79;1618
controller 20;100;83;1700
controller 20;100;86;1761
controller 20;100;86;1761
controller 20;100;85;1741
controller 20;100;84;1720
controller 20;100;84;1720
controller 20;100;84;1720
controller 20;100;80;1638
controller 20;100;73;1495
controller 20;100;73;1495
controller 20;100;76;1556
controller 20;100;76;1556
controller 20;100;72;1475
controller 20;100;72;1475
controller 20;100;70;1434
controller 20;100;73;1495
controller 20;100;75;1536
controller 20;100;69;1413
controller 20;100;75;1536
controller 20;100;75;1536
controller 20;100;80;1638
controller 20;100;80;1638
controller 20;100;80;1638
controller 20;100;80;1638
controller 20;100;81;1659
controller 20;100;81;1659
controller 20;100;81;1659
controller 20;100;81;1659
controller 20;100;76;1556
controller 20;100;79;1618
controller 20;100;83;1700
controller 20;100;84;1720
controller 20;100;84;1720
controller 20;100;88;1802
controller 20;100;88;1802
controller 20;100;87;1782
controller 20;100;87;1782
controller 20;100;89;1823
controller 20;100;91;1864
controller 20;100;91;1864
controller 20;100;85;1741
controller 20;100;89;1823
controller 64;98;78;1597
controller 64;98;84;1720
controller 64;98;81;1659
controller 64;98;86;1761
controller 64;98;77;1577
controller 64;98;76;1556
controller 64;98;78;1597
controller 64;98;78;1597
controller 64;98;73;1495
controller 64;98;73;1495
controller 64;98;65;1331
controller 64;98;65;1331
controller 64;98;68;1393
controller 64;98;58;1188
controller 64;98;56;1147
controller 64;98;62;1270
controller 64;98;63;1290
controller 64;98;62;1270
controller 64;98;66;1352
controller 64;98;66;1352
controller 64;98;66;1352
controller 64;98;66;1352
controller 64;98;67;1372
controller 64;98;67;1372
controller 64;98;67;1372
controller 64;98;67;1372
controller 64;98;69;1413
controller 64;98;62;1270
controller 64;98;62;1270
controller 64;98;59;1208
controller 64;98;61;1249
controller 64;98;65;1331
controller 64;98;65;1331
controller 64;98;62;1270
controller 64;98;62;1270
controller 64;98;62;1270
controller 64;98;65;1331
controller 64;98;65;1331
controller 64;98;66;1352
controller 64;98;69;1413
controller 64;98;64;1311
controller 64;98;64;1311
controller 64;98;64;1311
controller 64;98;59;1208
controller 64;98;59;1208
controller 64;98;59;1208
controller 64;98;57;1167
controller 64;98;57;1167
controller 64;98;57;1167
controller 64;98;57;1167
controller 64;98;57;1167
controller 64;98;57;1167
controller 64;98;54;1106
controller 64;98;54;1106
controller 64;98;54;1106
controller 64;98;53;1085
controller 64;98;54;1106
controller 64;98;54;1106
controller 64;98;64;1311
controller 64;98;64;1311
controller 64;98;69;1413
controller 64;98;72;1475
controller 64;98;81;1659
controller 64;98;84;1720
controller 64;98;85;1741
controller 64;98;84;1720
controller 64;98;85;1741
controller 64;98;85;1741
controller 64;98;83;1700
controller 64;98;82;1679
controller 64;98;82;1679
controller 64;98;82;1679
controller 64;98;82;1679
controller 64;98;82;1679
controller 64;98;77;1577
controller 64;98;84;1720
controller 64;98;87;1782
controller 64;98;94;1925
controller 64;98;89;1823
controller 91;93;78;1597
controller 91;93;78;1597
controller 91;93;78;1597
controller 91;93;78;1597
controller 91;93;77;1577
controller 91;93;77;1577
controller 91;93;77;1577
controller 91;93;78;1597
controller 91;93;78;1597
controller 91;93;79;1618
controller 91;93;86;1761
controller 91;93;86;1761
controller 91;93;86;1761
controller 91;93;85;1741
controller 91;93;81;1659
controller 91;93;81;1659
controller 91;93;77;1577
controller 91;93;75;1536
controller 91;93;75;1536
controller 91;93;75;1536
controller 91;93;75;1536
controller 91;93;75;1536
controller 91;93;76;1556
controller 91;93;77;1577
controller 91;93;89;1823
controller 91;93;89;1823
controller 91;93;89;1823
controller 91;93;89;1823
controller 91;93;89;1823
controller 91;93;89;1823
controller 91;93;89;1823
controller 91;93;87;1782
controller 91;93;83;1700
controller 91;93;77;1577
controller 91;93;82;1679
controller 91;93;65;1331
controller 91;93;66;1352
controller 91;93;64;1311
controller 91;93;68;1393
controller 91;93;68;1393
controller 91;93;69;1413
controller 91;93;69;1413
controller 91;93;69;1413
controller 91;93;69;1413
controller 91;93;69;1413
controller 91;93;69;1413
controller 91;93;69;1413
controller 91;93;69;1413
controller 91;93;72;1475
controller 91;93;75;1536
controller 91;93;75;1536
controller 91;93;75;1536
controller 91;93;75;1536
controller 91;93;72;1475
controller 91;93;71;1454
controller 91;93;72;1475
controller 91;93;69;1413
controller 91;93;69;1413
controller 91;93;69;1413
controller 91;93;71;1454
controller 91;93;65;1331
controller 91;93;65;1331
controller 91;93;68;1393
controller 91;93;68;1393
controller 91;93;76;1556
controller 91;93;80;1638
controller 91;93;80;1638
controller 91;93;79;1618
controller 91;93;85;1741
controller 91;93;85;1741
controller 91;93;85;1741
controller 91;93;74;1516
controller 91;93;79;1618
controller 91;93;79;1618
controller 91;93;79;1618
controller 91;93;83;1700
controller 91;93;83;1700
controller 91;93;81;1659
controller 91;93;75;1536
controller 91;93;66;1352
controller 91;93;66;1352
controller 91;93;66;1352
controller 91;93;66;1352
controller 20;100;97;1987
controller 20;100;96;1966
controller 20;100;96;1966
controller 20;100;96;1966
controller 20;100;95;1946
controller 20;100;88;1802
controller 20;100;88;1802
controller 20;100;87;1782
controller 20;100;87;1782
controller 20;100;87;1782
controller 20;100;85;1741
controller 20;100;83;1700
controller 20;100;82;1679
controller 91;93;83;1700
controller 91;93;83;1700
controller 91;93;83;1700
controller 91;93;80;1638
controller 91;93;80;1638
controller 91;93;89;1823
controller 91;93;89;1823
controller 91;93;67;1372
controller 91;93;74;1516
controller 91;93;77;1577
controller 91;93;81;1659
controller 91;93;80;1638
controller 91;93;79;1618
controller 91;93;79;1618
controller 91;93;81;1659
controller 91;93;77;1577
controller 91;93;80;1638
controller 91;93;80;1638
controller 91;93;81;1659
controller 91;93;79;1618
controller 91;93;77;1577
controller 91;93;74;1516
controller 91;93;74;1516
controller 91;93;74;1516
controller 91;93;74;1516
controller 91;93;74;1516
controller 91;93;74;1516
controller 91;93;74;1516
controller 91;93;74;1516
controller 91;93;75;1536
controller 91;93;75;1536
controller 91;93;74;1516
controller 91;93;66;1352
controller 91;93;68;1393
controller 91;93;68;1393
controller 91;93;68;1393
controller 91;93;68;1393
controller 91;93;68;1393
controller 91;93;68;1393
controller 91;93;63;1290
controller 91;93;54;1106
controller 91;93;55;1126
controller 91;93;60;1229
controller 91;93;60;1229
controller 91;93;63;1290
controller 91;93;59;1208
controller 91;93;54;1106
controller 91;93;54;1106
controller 91;93;54;1106
controller 91;93;54;1106
controller 91;93;54;1106
controller 91;93;54;1106
controller 91;93;55;1126
controller 91;93;55;1126
controller 91;93;55;1126
controller 91;93;58;1188
controller 91;93;58;1188
controller 91;93;58;1188
controller 91;93;59;1208
controller 91;93;69;1413
controller 91;93;69;1413
controller 91;93;69;1413
controller 91;93;75;1536
controller 91;93;76;1556
controller 91;93;77;1577
controller 91;93;77;1577
controller 91;93;77;1577
controller 91;93;77;1577
controller 91;93;77;1577
controller 91;93;77;1577
controller 91;93;83;1700
controller 91;93;82;1679
controller 91;93;72;1475
controller 91;93;77;1577
controller 91;93;77;1577
controller 91;93;77;1577
controller 91;93;79;1618
controller 91;93;75;1536
