controller;battery;memory_avaliable;total_memory_avaliable
controller 98;93;96;983
controller 98;93;92;942
controller 98;93;86;881
controller 98;93;86;881
controller 98;93;86;881
controller 98;93;88;901
controller 98;93;89;911
controller 98;93;90;922
controller 98;93;90;922
controller 98;93;98;1004
controller 98;93;95;973
controller 98;93;91;932
controller 98;93;90;922
controller 98;93;91;932
controller 98;93;92;942
controller 98;93;87;891
controller 98;93;90;922
controller 1;72;92;1884
controller 1;72;92;1884
controller 1;72;92;1884
controller 1;72;93;1905
controller 1;72;93;1905
controller 1;72;92;1884
controller 1;72;92;1884
controller 1;72;92;1884
controller 1;72;92;1884
controller 1;72;92;1884
controller 1;72;92;1884
controller 1;72;81;1659
controller 1;72;81;1659
controller 1;72;82;1679
controller 1;72;82;1679
controller 1;72;76;1556
controller 1;72;76;1556
controller 1;72;70;1434
controller 1;72;70;1434
controller 1;72;70;1434
controller 1;72;70;1434
controller 1;72;70;1434
controller 1;72;81;1659
controller 1;72;83;1700
controller 1;72;87;1782
controller 1;72;89;1823
controller 1;72;92;1884
controller 1;72;92;1884
controller 1;72;92;1884
controller 1;72;92;1884
controller 1;72;92;1884
controller 1;72;92;1884
controller 1;72;92;1884
controller 1;72;92;1884
controller 1;72;92;1884
controller 1;72;92;1884
controller 1;72;92;1884
controller 1;72;92;1884
controller 1;72;93;1905
controller 1;72;93;1905
controller 1;72;91;1864
controller 1;72;91;1864
controller 1;72;92;1884
controller 1;72;93;1905
controller 1;72;93;1905
controller 1;72;93;1905
controller 1;72;93;1905
controller 1;72;97;1987
controller 1;72;100;2048
controller 1;72;100;2048
controller 1;72;99;2028
controller 1;72;97;1987
controller 1;72;97;1987
controller 1;72;99;2028
controller 1;72;99;2028
controller 1;72;99;2028
controller 1;72;98;2007
controller 1;72;98;2007
controller 1;72;98;2007
controller 1;72;98;2007
controller 1;72;99;2028
controller 1;72;99;2028
controller 1;72;99;2028
controller 1;72;99;2028
controller 1;72;95;1946
controller 1;72;95;1946
controller 1;72;95;1946
controller 1;72;95;1946
controller 1;72;95;1946
controller 1;72;97;1987
controller 1;72;97;1987
controller 1;72;97;1987
controller 1;72;97;1987
controller 1;72;100;2048
controller 1;72;100;2048
controller 98;93;81;829
controller 98;93;81;829
controller 98;93;75;768
controller 1;72;100;2048
controller 1;72;100;2048
controller 1;72;100;2048
controller 1;72;100;2048
controller 1;72;100;2048
controller 1;72;100;2048
controller 1;72;94;1925
controller 1;72;94;1925
controller 1;72;94;1925
controller 1;72;93;1905
controller 1;72;93;1905
controller 1;72;93;1905
controller 1;72;93;1905
controller 1;72;93;1905
controller 1;72;98;2007
controller 1;72;96;1966
controller 1;72;89;1823
controller 1;72;89;1823
controller 1;72;89;1823
controller 1;72;89;1823
controller 1;72;89;1823
controller 1;72;93;1905
controller 1;72;93;1905
controller 1;72;93;1905
controller 1;72;99;2028
controller 1;72;96;1966
controller 1;72;98;2007
controller 1;72;98;2007
controller 1;72;98;2007
controller 1;72;98;2007
controller 1;72;98;2007
controller 1;72;99;2028
controller 1;72;99;2028
controller 1;72;99;2028
controller 1;72;99;2028
controller 1;72;99;2028
controller 1;72;99;2028
controller 1;72;99;2028
controller 1;72;99;2028
controller 1;72;99;2028
controller 1;72;91;1864
controller 1;72;91;1864
controller 1;72;88;1802
controller 1;72;74;1516
controller 1;72;71;1454
controller 1;72;71;1454
controller 1;72;71;1454
controller 1;72;73;1495
controller 1;72;72;1475
controller 1;72;72;1475
controller 1;72;72;1475
controller 1;72;72;1475
controller 1;72;70;1434
controller 1;72;70;1434
controller 1;72;71;1454
controller 1;72;71;1454
controller 1;72;69;1413
controller 1;72;63;1290
controller 1;72;63;1290
controller 1;72;61;1249
controller 1;72;60;1229
controller 1;72;61;1249
controller 1;72;61;1249
controller 1;72;61;1249
controller 1;72;56;1147
