controller;battery;memory_avaliable;total_memory_avaliable
controller 53;87;72;1475
controller 53;87;72;1475
controller 53;87;72;1475
controller 53;87;76;1556
controller 53;87;77;1577
controller 53;87;77;1577
controller 53;87;80;1638
controller 74;98;61;1249
controller 74;98;61;1249
controller 74;98;64;1311
controller 74;98;64;1311
controller 74;98;63;1290
controller 74;98;63;1290
controller 74;98;67;1372
controller 74;98;67;1372
controller 74;98;68;1393
controller 74;98;68;1393
controller 74;98;71;1454
controller 74;98;74;1516
controller 74;98;84;1720
controller 74;98;84;1720
controller 74;98;73;1495
controller 74;98;73;1495
controller 74;98;73;1495
controller 74;98;75;1536
controller 74;98;83;1700
controller 74;98;83;1700
controller 74;98;86;1761
controller 74;98;86;1761
controller 74;98;90;1843
controller 74;98;90;1843
controller 74;98;94;1925
controller 14;99;51;1044
controller 14;99;55;1126
controller 14;99;55;1126
controller 14;99;52;1065
controller 14;99;65;1331
controller 14;99;65;1331
controller 14;99;60;1229
controller 14;99;61;1249
controller 14;99;61;1249
controller 14;99;61;1249
controller 14;99;66;1352
controller 14;99;65;1331
controller 14;99;67;1372
controller 14;99;69;1413
controller 14;99;69;1413
controller 14;99;69;1413
controller 14;99;69;1413
controller 14;99;56;1147
controller 14;99;56;1147
controller 14;99;57;1167
controller 14;99;57;1167
controller 14;99;57;1167
controller 14;99;57;1167
controller 14;99;62;1270
controller 14;99;62;1270
controller 14;99;54;1106
controller 14;99;50;1024
controller 14;99;50;1024
controller 14;99;57;1167
controller 14;99;58;1188
controller 14;99;58;1188
controller 14;99;58;1188
controller 14;99;58;1188
controller 14;99;58;1188
controller 14;99;57;1167
controller 14;99;57;1167
controller 14;99;60;1229
controller 14;99;60;1229
controller 14;99;60;1229
controller 14;99;60;1229
controller 14;99;60;1229
controller 14;99;60;1229
controller 14;99;60;1229
controller 14;99;58;1188
controller 14;99;58;1188
controller 14;99;56;1147
controller 14;99;56;1147
controller 14;99;58;1188
controller 14;99;58;1188
controller 14;99;54;1106
controller 14;99;53;1085
controller 14;99;53;1085
controller 14;99;54;1106
controller 14;99;55;1126
controller 14;99;48;983
controller 14;99;43;881
controller 14;99;45;922
controller 14;99;42;860
controller 14;99;42;860
controller 14;99;60;1229
controller 14;99;60;1229
controller 14;99;60;1229
controller 14;99;62;1270
controller 14;99;58;1188
controller 14;99;58;1188
controller 14;99;58;1188
controller 14;99;64;1311
controller 14;99;69;1413
controller 14;99;69;1413
controller 14;99;73;1495
controller 14;99;80;1638
controller 14;99;91;1864
controller 14;99;91;1864
controller 14;99;91;1864
controller 14;99;91;1864
controller 14;99;83;1700
controller 14;99;78;1597
controller 14;99;78;1597
controller 74;98;90;1843
controller 74;98;90;1843
controller 74;98;89;1823
controller 74;98;93;1905
controller 74;98;96;1966
controller 74;98;87;1782
controller 74;98;87;1782
controller 74;98;90;1843
controller 74;98;91;1864
controller 74;98;91;1864
controller 74;98;92;1884
controller 74;98;85;1741
controller 74;98;89;1823
controller 74;98;93;1905
controller 74;98;93;1905
