controller;battery;memory_avaliable;total_memory_avaliable
controller 54;90;88;1802
controller 54;90;88;1802
controller 54;90;88;1802
controller 54;90;88;1802
controller 90;96;85;218
controller 90;96;86;220
controller 90;96;87;223
controller 90;95;100;256
controller 90;94;100;256
controller 90;94;100;256
controller 90;94;100;256
controller 90;94;100;256
controller 90;94;100;256
controller 90;94;100;256
controller 90;93;94;241
controller 90;93;95;243
controller 90;93;100;256
controller 90;92;100;256
controller 90;92;100;256
controller 90;92;100;256
controller 90;91;100;256
controller 90;91;100;256
controller 90;91;100;256
controller 90;91;100;256
controller 90;90;100;256
controller 90;90;98;251
controller 90;90;96;246
controller 90;90;96;246
controller 90;90;99;253
controller 90;90;95;243
controller 90;89;98;251
controller 90;89;98;251
controller 90;89;98;251
controller 77;88;67;1372
controller 77;88;71;1454
controller 77;88;71;1454
controller 78;93;92;942
controller 78;93;88;901
controller 78;93;90;922
controller 78;93;92;942
controller 78;93;92;942
controller 78;93;92;942
controller 78;93;92;942
controller 78;93;92;942
controller 78;93;92;942
controller 78;93;93;952
controller 78;93;93;952
controller 78;93;91;932
controller 78;93;91;932
controller 78;93;87;891
controller 78;93;98;1004
controller 78;92;98;1004
controller 78;92;98;1004
controller 77;87;61;1249
controller 77;87;63;1290
controller 77;87;66;1352
controller 77;87;66;1352
controller 77;87;66;1352
controller 77;86;66;1352
controller 77;86;73;1495
controller 77;86;72;1475
controller 77;86;74;1516
controller 77;86;74;1516
controller 77;85;74;1516
controller 77;85;74;1516
controller 77;85;74;1516
controller 77;85;76;1556
controller 77;85;72;1475
controller 77;85;73;1495
controller 77;85;73;1495
controller 77;85;70;1434
controller 77;85;73;1495
controller 77;85;75;1536
controller 77;85;75;1536
controller 77;85;75;1536
controller 77;85;75;1536
controller 77;85;75;1536
controller 77;85;76;1556
controller 77;85;77;1577
controller 77;85;77;1577
controller 77;85;77;1577
controller 77;85;77;1577
controller 77;85;74;1516
controller 77;85;75;1536
controller 77;85;75;1536
controller 77;85;75;1536
controller 77;85;82;1679
controller 77;85;82;1679
controller 77;84;79;1618
controller 77;84;79;1618
controller 77;84;80;1638
controller 77;84;84;1720
controller 77;84;84;1720
controller 77;83;79;1618
controller 77;83;82;1679
controller 77;83;82;1679
controller 77;82;85;1741
controller 54;81;77;1577
controller 54;81;77;1577
controller 54;81;77;1577
controller 54;81;77;1577
controller 54;81;78;1597
controller 54;81;78;1597
controller 54;81;78;1597
controller 54;81;78;1597
controller 54;81;90;1843
controller 54;81;90;1843
controller 54;81;90;1843
controller 69;47;82;1679
controller 69;47;82;1679
controller 69;46;68;1393
controller 90;81;100;256
controller 90;81;100;256
controller 90;81;99;253
controller 54;81;78;1597
controller 54;81;81;1659
controller 54;81;81;1659
controller 77;82;88;1802
controller 77;82;88;1802
controller 77;82;88;1802
controller 77;82;88;1802
controller 77;82;88;1802
controller 77;82;90;1843
controller 77;82;90;1843
controller 77;82;92;1884
controller 77;82;92;1884
controller 77;82;89;1823
controller 77;82;80;1638
controller 77;82;80;1638
controller 77;82;80;1638
controller 77;82;80;1638
controller 77;82;80;1638
controller 77;82;80;1638
