node 1;node 2;node 3;node 4;node 5
14.4;2.7;19.6;18.8;14.7
14.2;2;19.6;16.5;15.3
14.6;5.7;20.3;14.6;16
13.2;6.2;20;14;16.3
13.6;3.3;20.7;16.1;16.1
16.4;3.8;19.2;13.1;16.5
18.5;3.2;20.4;12.2;15.4
18.4;5.6;20.5;12.6;13.2
18.8;5.5;20.6;12;13.7
18.8;2.2;19.8;13.7;13.3
18.6;5.3;19.8;14.2;13.5
18.1;6.1;19.3;17.7;13.2
19.4;6.5;16.5;20;14.3
19;9.8;18.8;18.2;17.1
19.8;9;17;16.4;18.8
20.4;10.8;16;15.3;19.7
20.4;10.2;17.2;18.8;16
20.5;10.6;17.4;18.5;19.3
20.4;11.5;17.8;20.6;18.1
20;12;18.4;17.1;17.5
20.7;13.8;16.6;17.3;20.7
20.2;14.6;17.4;17.7;20.2
20;12.6;16.8;15.1;20.1
20.6;13.7;13.2;14.6;20.2
20.3;13.7;13.4;14.2;20.2
20.8;15;9.5;16.7;18.4
20.5;15.4;9.1;18.1;15.2
20.6;17.3;9.8;18.1;15.4
20.2;19.1;10.8;19.8;16.4
20.4;13.1;9.1;18;19.4
