controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 23;1;95;84;88;10.203927;50
controller 68;65;100;98;81;31.974604;0
controller 23;79;97;76;80;15.31054;50
controller 24;89;97;83;60;8.595196;75
controller 23;111;100;74;76;11.454304;50
controller 16;121;96;46;79;19.877188;50
controller 19;124;100;56;94;17.77982;75
controller 68;130;99;94;73;3.527634;0
controller 34;141;95;85;77;13.227517;0
controller 23;160;87;73;80;10.991898;50
controller 36;167;97;61;81;31.974604;75
controller 87;177;97;82;82;13.634939;0
controller 23;208;98;66;72;30.831854;50
controller 36;237;99;55;96;24.068867;75
controller 34;261;99;78;97;31.974604;0
controller 23;284;100;53;81;28.20253;50
controller 41;299;96;25;95;21.57005;50
controller 34;302;97;73;79;31.974604;0
controller 19;328;100;49;88;21.36822;75
controller 23;338;91;49;83;8.317599;50
controller 34;376;96;71;91;2.7014325;0
controller 11;384;100;44;82;26.075924;75
controller 41;388;100;23;90;31.974604;50
controller 23;401;100;45;83;5.239154;50
controller 74;428;100;64;80;0.841226;0
controller 57;432;100;24;91;24.347637;0
controller 41;435;98;18;79;31.974604;50
controller 68;444;86;78;71;1.0020856;0
controller 34;447;99;68;77;7.464841;0
controller 3;476;99;70;76;0.86890906;75
controller 0;512;85;12;8;1.2486953;75
controller 3;515;95;64;89;3.532054;75
controller 47;751;94;19;80;31.974604;50
controller 74;769;100;45;67;10.824958;0
controller 3;773;100;51;79;9.990586;75
controller 74;776;100;45;82;10.824958;0
controller 3;779;94;51;82;31.974604;75
controller 74;783;95;44;78;6.022554;0
controller 3;786;98;51;86;14.469613;75
controller 74;789;96;44;73;7.4443126;0
controller 3;793;92;51;84;31.974604;75
controller 74;796;96;44;78;7.4443126;0
controller 3;799;93;51;91;12.993883;75
controller 74;802;97;44;83;7.4443126;0
controller 3;806;98;51;87;31.974604;75
controller 74;809;100;43;81;13.193686;0
controller 3;812;100;51;85;39.283978;75
controller 74;816;100;43;81;13.193686;0
controller 3;819;100;51;80;14.971168;75
controller 74;822;97;43;68;13.193686;0
controller 3;825;96;50;81;9.454396;75
controller 74;829;100;43;76;20.561506;0
controller 3;832;99;50;80;8.448782;75
controller 74;835;100;43;73;20.561506;0
controller 3;839;90;50;100;7.027201;75
controller 74;842;99;42;68;20.561506;0
controller 3;845;88;50;92;3.2838733;75
controller 74;848;100;42;70;31.974604;0
controller 3;852;96;50;85;2.28018;75
controller 74;855;100;41;87;44.931526;0
controller 3;866;97;50;82;1.1147281;75
controller 74;870;100;40;70;44.931526;0
controller 3;873;87;50;77;0.9493047;75
controller 74;876;100;40;68;29.150415;0
controller 3;880;99;49;87;2.5263548;75
controller 74;883;100;38;76;23.016409;0
controller 3;886;82;49;86;0.6145741;75
controller 74;889;100;37;69;23.016409;0
controller 3;893;100;49;87;2.5258758;75
controller 74;896;100;36;69;31.974604;0
controller 3;899;82;49;78;0.60967207;75
