controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 45;1;96;76;72;13.912803;90
controller 80;26;100;86;88;31.974604;50
controller 36;30;87;90;75;38.26649;100
controller 29;33;91;83;80;12.221442;90
controller 38;36;94;76;89;31.974604;50
controller 39;40;99;46;81;31.974604;100
controller 86;48;100;94;90;31.974604;50
controller 29;55;100;80;80;5.718788;90
controller 1;57;97;75;60;3.5966833;0
controller 59;60;92;98;81;31.974604;90
controller 38;64;100;74;73;31.974604;50
controller 8;84;96;88;47;31.974604;75
controller 29;87;99;79;78;24.373127;90
controller 8;123;95;85;79;31.974604;75
controller 29;130;96;71;78;8.309597;90
controller 8;135;99;84;82;28.3642;75
controller 59;140;100;91;94;31.974604;90
controller 45;144;93;61;81;9.8680525;90
controller 8;149;99;83;82;28.676008;75
controller 75;166;100;55;13;31.974604;75
controller 8;169;95;80;73;23.60129;75
controller 45;179;100;59;77;20.55008;90
controller 8;191;100;75;79;31.974604;75
controller 86;200;97;87;77;31.974604;50
controller 59;223;98;82;78;31.974604;90
controller 45;230;95;53;79;17.40947;90
controller 90;234;100;79;62;31.974604;100
controller 36;240;90;83;72;50.193142;100
controller 20;247;98;87;83;39.953377;50
controller 39;251;99;20;78;31.974604;100
controller 8;254;77;71;85;2.633973;75
controller 59;256;100;78;79;31.974604;90
controller 90;271;98;79;62;16.114256;100
controller 4;293;98;74;83;28.870157;60
controller 29;296;94;43;79;31.974604;90
controller 20;311;96;83;74;16.08329;50
controller 90;316;96;76;69;31.974604;100
controller 29;338;94;40;75;31.974604;90
controller 8;343;92;67;87;31.974604;75
controller 65;349;99;53;79;18.891672;100
controller 20;353;97;83;94;31.974604;50
controller 29;361;96;37;83;31.974604;90
controller 83;364;100;73;44;31.925228;50
controller 65;369;100;51;88;11.926504;100
controller 75;386;99;50;23;31.974604;75
controller 35;396;84;30;82;31.974604;90
controller 28;399;97;34;77;31.974604;60
controller 20;402;92;81;27;31.974604;50
controller 0;406;92;13;79;31.974604;90
controller 64;411;99;25;41;21.76178;100
controller 17;419;92;69;80;15.449863;50
controller 65;441;98;44;45;31.974604;100
controller 29;449;98;31;83;31.974604;90
controller 75;470;99;47;21;31.974604;75
controller 88;475;99;31;80;31.974604;50
controller 65;479;100;41;76;31.974604;100
controller 90;490;98;70;5;31.974604;100
controller 75;512;87;46;35;20.301216;75
controller 20;522;82;74;61;30.932312;50
controller 65;528;100;38;87;5.645954;100
controller 30;533;100;56;40;31.974604;50
controller 75;545;97;45;54;3.724614;75
controller 69;568;95;55;82;31.974604;60
controller 75;572;100;41;41;31.974604;75
controller 83;587;99;59;19;19.972347;50
controller 68;605;100;59;23;31.974604;0
controller 75;613;99;39;46;8.898735;75
controller 35;651;97;24;81;31.974604;90
controller 75;654;91;36;65;3.1997938;75
controller 69;664;95;49;86;31.974604;60
controller 75;677;99;32;57;31.974604;75
controller 86;785;98;49;91;31.974604;50
controller 75;788;100;24;100;31.974604;75
controller 83;847;100;45;83;31.974604;50
controller 75;856;91;19;95;4.5519824;75
controller 25;881;96;30;80;2.969281;60
controller 62;885;100;31;80;1.5228114;60
controller 75;889;88;15;97;2.6555798;75
