controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 30;1;100;97;43;12.0;100
controller 15;4;100;80;66;20.0;50
controller 39;5;100;78;82;14.0;50
controller 37;13;100;86;79;17.0;75
controller 27;22;100;74;79;20.0;50
controller 15;31;100;77;57;19.0;50
controller 41;35;100;78;66;20.0;50
controller 37;44;100;81;82;19.0;75
controller 30;46;100;93;28;20.0;100
controller 86;50;100;91;87;8.0;100
controller 56;53;100;86;97;9.0;75
controller 30;55;100;90;41;19.0;100
controller 37;65;100;81;84;20.0;75
controller 30;70;100;89;45;19.0;100
controller 0;86;100;85;65;18.0;50
controller 37;88;100;79;83;20.0;75
controller 86;90;100;91;81;11.0;100
controller 30;98;100;83;49;20.0;100
controller 27;114;100;71;93;20.0;50
controller 86;116;100;91;88;13.0;100
controller 30;128;100;77;59;20.0;100
controller 56;136;100;86;91;16.0;75
controller 86;160;100;91;84;15.0;100
controller 56;208;100;86;60;17.0;75
controller 86;212;100;91;83;17.0;100
controller 0;367;100;71;92;20.0;50
controller 86;369;100;91;57;12.0;100
controller 0;434;100;68;90;20.0;50
controller 86;436;100;91;74;9.0;100
controller 74;489;100;68;64;10.0;100
controller 86;492;100;91;83;9.0;100
controller 56;501;100;86;42;16.0;75
controller 0;510;100;63;59;19.0;50
controller 41;520;100;58;77;20.0;50
controller 74;522;100;68;83;12.0;100
controller 86;532;100;91;81;11.0;100
controller 74;566;100;68;81;13.0;100
controller 86;576;100;91;79;13.0;100
controller 74;616;100;68;87;18.0;100
controller 86;677;100;91;80;14.0;100
controller 74;681;100;68;51;18.0;100
controller 86;872;100;91;91;8.0;100
controller 74;874;100;68;85;11.0;100
controller 82;881;100;67;84;18.0;75
