controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 44;1;100;96;95;12.0;90
controller 59;30;100;99;56;18.0;75
controller 44;36;100;90;63;20.0;90
controller 30;45;100;84;81;20.0;75
controller 44;51;100;84;67;18.0;90
controller 30;55;100;83;93;20.0;75
controller 44;63;100;82;78;19.0;90
controller 35;65;100;75;87;20.0;75
controller 30;70;100;80;80;20.0;75
controller 44;75;100;82;78;20.0;90
controller 96;96;100;88;56;16.0;75
controller 59;100;100;99;79;17.0;75
controller 94;264;100;95;87;14.0;100
controller 59;288;100;99;66;11.0;75
controller 94;293;100;95;80;15.0;100
controller 82;308;100;70;73;16.0;90
controller 94;321;100;95;79;14.0;100
controller 59;353;100;99;80;10.0;75
controller 94;371;100;95;80;14.0;100
controller 59;503;100;99;83;9.0;75
controller 94;508;100;95;53;20.0;100
controller 96;517;100;88;53;16.0;75
controller 94;555;100;95;83;18.0;100
controller 96;620;100;88;89;13.0;75
controller 94;647;100;95;80;17.0;100
controller 59;733;100;99;86;8.0;75
controller 73;736;100;91;87;20.0;75
controller 94;738;100;95;82;14.0;100
controller 86;753;100;81;75;20.0;60
controller 55;773;100;83;81;20.0;90
controller 73;780;100;91;80;15.0;75
controller 82;789;100;70;90;15.0;90
controller 89;793;100;96;81;17.0;90
controller 73;807;100;91;80;18.0;75
controller 59;821;100;99;78;6.0;75
controller 86;845;100;81;76;18.0;60
controller 55;847;100;83;81;19.0;90
controller 89;855;100;96;80;17.0;90
controller 73;858;100;91;77;20.0;75
controller 82;871;100;70;72;20.0;90
controller 59;885;100;99;78;10.0;75
