controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 68;1;100;85;100;16.0;100
controller 48;2;100;94;87;20.0;75
controller 44;8;100;90;98;20.0;75
controller 22;20;100;95;53;13.0;75
controller 54;22;100;96;99;18.0;60
controller 48;28;100;94;97;19.0;75
controller 22;38;100;94;65;16.0;75
controller 58;41;100;79;57;20.0;60
controller 68;47;100;85;93;18.0;100
controller 22;53;100;91;69;20.0;75
controller 72;56;100;88;65;16.0;60
controller 83;62;100;91;80;18.0;90
controller 48;69;100;92;93;19.0;75
controller 62;75;100;90;87;18.0;100
controller 22;77;100;88;88;16.0;75
controller 84;80;100;48;55;20.0;100
controller 83;83;100;91;81;15.0;90
controller 68;89;100;85;78;20.0;100
controller 22;97;100;86;59;18.0;75
controller 72;100;100;88;81;20.0;60
controller 83;134;100;91;92;19.0;90
controller 22;136;100;86;98;20.0;75
controller 62;140;100;90;88;18.0;100
controller 93;142;100;80;84;18.0;50
controller 68;144;100;85;80;18.0;100
controller 72;157;100;88;77;18.0;60
controller 22;158;100;82;76;20.0;75
controller 83;173;100;91;80;16.0;90
controller 54;181;100;96;85;20.0;60
controller 48;185;100;84;79;20.0;75
controller 93;187;100;80;80;18.0;50
controller 62;193;100;90;84;18.0;100
controller 83;199;100;91;79;19.0;90
controller 72;229;100;88;78;15.0;60
controller 83;231;100;91;84;18.0;90
controller 68;248;100;85;80;17.0;100
controller 83;262;100;91;81;15.0;90
controller 68;286;100;85;80;20.0;100
controller 83;300;100;91;93;20.0;90
controller 72;315;100;88;76;17.0;60
controller 83;329;100;91;81;17.0;90
controller 68;344;100;85;79;16.0;100
controller 75;346;100;76;100;18.0;100
controller 83;358;100;91;86;20.0;90
controller 72;367;100;88;100;17.0;60
controller 68;391;100;85;83;19.0;100
controller 83;393;100;91;85;17.0;90
controller 75;404;100;76;99;17.0;100
controller 83;428;100;91;79;19.0;90
controller 72;430;100;88;95;15.0;60
controller 68;432;100;85;82;19.0;100
controller 75;442;100;76;92;19.0;100
controller 83;462;100;91;79;17.0;90
controller 68;469;100;85;79;17.0;100
controller 72;477;100;88;80;13.0;60
controller 75;483;100;76;82;19.0;100
controller 78;485;100;90;81;16.0;90
controller 68;502;100;85;80;19.0;100
controller 83;514;100;91;82;13.0;90
controller 78;520;100;90;84;15.0;90
controller 72;522;100;88;75;14.0;60
controller 68;542;100;85;82;20.0;100
controller 72;584;100;88;70;15.0;60
controller 68;586;100;85;86;18.0;100
controller 72;634;100;88;71;14.0;60
controller 68;636;100;85;73;17.0;100
controller 83;648;100;91;83;10.0;90
controller 97;655;100;78;79;19.0;60
controller 78;663;100;90;80;7.0;90
controller 48;666;100;56;83;20.0;75
controller 98;668;100;79;55;4.0;60
controller 62;670;100;90;80;6.0;100
controller 68;672;100;85;82;13.0;100
controller 72;686;100;88;80;14.0;60
controller 83;717;100;91;79;8.0;90
controller 56;727;100;89;83;15.0;100
controller 72;731;100;88;43;17.0;60
controller 78;743;100;90;84;10.0;90
controller 62;746;100;90;79;11.0;100
controller 63;747;100;71;89;14.0;50
controller 68;749;100;85;81;6.0;100
controller 97;753;100;78;92;17.0;60
controller 83;757;100;91;80;8.0;90
controller 78;764;100;90;86;11.0;90
controller 72;774;100;88;80;15.0;60
