controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 59;1;100;90;79;20.0;75
controller 62;36;100;95;51;19.0;50
controller 27;44;100;82;65;20.0;75
controller 59;48;100;90;56;18.0;75
controller 72;56;100;72;73;20.0;75
controller 27;72;100;78;52;20.0;75
controller 35;98;100;89;88;19.0;50
controller 59;110;100;90;72;12.0;75
controller 35;115;100;87;94;20.0;50
controller 72;125;100;72;76;19.0;75
controller 35;130;100;86;70;20.0;50
controller 59;151;100;90;59;13.0;75
controller 35;208;100;80;92;20.0;50
controller 41;226;100;75;87;20.0;75
controller 29;230;100;77;94;20.0;75
controller 72;238;100;72;52;17.0;75
controller 62;441;100;95;73;12.0;50
controller 72;468;100;72;84;17.0;75
controller 62;482;100;95;74;10.0;50
controller 72;505;100;72;62;20.0;75
controller 68;558;100;67;66;19.0;75
controller 72;586;100;72;94;16.0;75
controller 62;639;100;95;79;7.0;50
controller 68;701;100;67;73;19.0;75
controller 59;731;100;90;81;5.0;75
controller 68;816;100;67;69;18.0;75
controller 62;823;100;95;69;11.0;50
