controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 86;1;100;96;63;6.0;100
controller 91;6;100;98;85;7.0;90
controller 47;10;100;99;57;12.0;75
controller 29;22;100;85;97;14.0;75
controller 43;30;100;82;52;15.0;100
controller 29;32;100;83;84;19.0;75
controller 43;37;100;81;64;19.0;100
controller 91;50;100;98;85;10.0;90
controller 43;54;100;79;60;20.0;100
controller 47;60;100;99;66;20.0;75
controller 91;115;100;98;89;13.0;90
controller 78;231;100;99;93;13.0;75
controller 91;234;100;98;43;14.0;90
controller 52;245;100;87;83;15.0;100
controller 43;259;100;59;62;20.0;100
controller 29;266;100;68;97;20.0;75
controller 91;271;100;98;60;13.0;90
controller 78;396;100;99;90;14.0;75
controller 91;415;100;98;24;17.0;90
controller 94;420;100;76;84;13.0;100
controller 78;425;100;99;66;14.0;75
controller 94;444;100;76;95;15.0;100
controller 52;448;100;87;85;8.0;100
controller 78;452;100;99;95;14.0;75
controller 91;462;100;98;75;12.0;90
