controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 31;1;100;93;52;11.0;75
controller 8;3;100;92;51;19.0;0
controller 15;5;0;94;88;19.0;0
controller 65;6;100;97;90;14.0;0
controller 39;12;100;97;43;14.0;75
controller 30;14;100;56;85;17.0;90
controller 27;17;100;92;78;18.0;100
controller 37;21;100;56;52;20.0;75
controller 27;34;100;92;79;20.0;100
controller 39;61;100;93;86;17.0;75
controller 27;71;100;88;92;20.0;100
controller 39;80;100;89;58;20.0;75
controller 27;92;100;86;83;20.0;100
controller 30;96;100;51;78;20.0;90
controller 27;111;100;84;97;20.0;100
controller 65;147;100;97;78;14.0;0
controller 27;149;100;78;80;20.0;100
controller 48;158;100;83;92;20.0;100
controller 31;176;100;83;32;17.0;75
controller 27;195;100;75;81;20.0;100
controller 65;199;100;97;71;14.0;0
controller 27;287;100;72;83;20.0;100
controller 65;291;100;97;77;13.0;0
controller 27;365;100;68;89;20.0;100
controller 65;367;100;97;80;10.0;0
controller 27;395;100;67;79;20.0;100
controller 48;398;100;70;83;20.0;100
controller 65;414;100;97;80;7.0;0
controller 27;430;100;66;79;18.0;100
controller 64;432;100;82;84;11.0;0
controller 31;434;100;68;16;20.0;75
controller 48;436;100;70;90;20.0;100
controller 27;452;100;65;99;18.0;100
controller 65;470;100;97;82;9.0;0
controller 64;484;100;82;72;18.0;0
controller 27;494;100;62;79;18.0;100
controller 31;499;100;65;21;20.0;75
controller 86;501;100;86;86;8.0;0
controller 64;516;100;82;76;20.0;0
controller 65;655;100;97;84;6.0;0
controller 27;662;100;54;81;20.0;100
controller 31;665;100;59;45;20.0;75
controller 27;689;100;52;79;20.0;100
controller 65;704;100;97;64;5.0;0
controller 31;716;100;52;41;20.0;75
controller 86;724;100;86;97;11.0;0
controller 69;734;100;89;54;15.0;0
controller 65;749;100;97;76;5.0;0
controller 86;768;100;86;61;12.0;0
controller 65;799;100;97;77;5.0;0
controller 86;833;100;86;84;11.0;0
controller 65;900;100;97;85;2.0;0
