controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 26;1;100;83;52;11.0;90
controller 38;2;100;98;45;13.0;90
controller 27;20;100;94;67;14.0;60
controller 38;25;100;97;62;17.0;90
controller 27;35;100;91;82;20.0;60
controller 26;40;100;81;67;20.0;90
controller 38;46;100;96;82;20.0;90
controller 27;76;100;87;86;20.0;60
controller 38;80;100;89;74;18.0;90
controller 27;136;100;83;91;20.0;60
controller 38;140;100;77;83;20.0;90
controller 27;186;100;80;66;18.0;60
controller 38;191;100;71;74;20.0;90
controller 27;206;100;79;67;20.0;60
controller 38;223;100;66;78;20.0;90
controller 27;250;100;74;56;20.0;60
controller 95;256;100;82;80;14.0;75
controller 26;263;100;59;63;20.0;90
controller 19;278;100;59;64;16.0;90
controller 38;280;100;60;85;18.0;90
controller 27;282;100;65;65;20.0;60
controller 86;284;100;89;83;7.0;75
controller 1;336;100;56;85;19.0;100
controller 95;340;100;82;74;9.0;75
controller 1;380;100;55;76;20.0;100
controller 86;390;100;89;79;4.0;75
controller 95;415;100;82;100;9.0;75
controller 86;472;100;89;78;8.0;75
controller 95;520;100;82;77;10.0;75
controller 76;531;100;77;88;10.0;75
controller 86;561;100;89;81;7.0;75
controller 95;572;100;82;92;13.0;75
controller 76;706;100;77;80;16.0;75
controller 95;769;100;82;88;15.0;75
controller 76;786;100;77;91;19.0;75
controller 95;824;100;82;94;16.0;75
controller 76;859;100;77;88;18.0;75
