controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 2;1;100;69;92;18.0;75
controller 20;2;100;84;79;19.0;50
controller 75;4;100;97;79;19.0;50
controller 88;7;100;96;64;19.0;0
controller 22;10;100;92;83;18.0;60
controller 7;12;100;70;52;18.0;100
controller 6;14;100;85;80;20.0;100
controller 60;16;100;73;98;18.0;50
controller 93;20;100;84;61;17.0;50
controller 84;32;100;94;43;19.0;50
controller 43;35;100;65;91;18.0;90
controller 5;43;100;63;57;20.0;100
controller 7;48;100;67;77;18.0;100
controller 93;50;100;84;56;19.0;50
controller 37;81;100;66;66;19.0;100
controller 36;131;100;65;82;20.0;100
controller 93;136;100;84;73;17.0;50
controller 36;144;100;63;84;18.0;100
controller 88;146;100;96;74;19.0;0
controller 5;148;100;54;85;20.0;100
controller 60;150;100;73;100;19.0;50
controller 36;158;100;61;73;17.0;100
controller 75;195;100;97;80;16.0;50
controller 88;228;100;96;89;19.0;0
controller 60;245;100;73;94;18.0;50
controller 75;274;100;97;89;16.0;50
controller 46;288;100;70;52;19.0;75
controller 60;299;100;73;93;18.0;50
controller 88;341;100;96;66;15.0;0
controller 84;354;100;94;42;15.0;50
controller 93;357;100;84;98;10.0;50
controller 60;365;100;73;52;19.0;50
controller 93;412;100;84;84;11.0;50
controller 60;416;100;73;55;18.0;50
controller 75;420;100;97;55;17.0;50
controller 88;423;100;96;60;18.0;0
controller 75;462;100;97;79;18.0;50
controller 93;486;100;84;99;14.0;50
controller 75;503;100;97;84;18.0;50
controller 88;512;100;96;81;17.0;0
controller 93;524;100;84;90;16.0;50
controller 75;536;100;97;96;17.0;50
controller 88;554;100;96;74;20.0;0
controller 75;614;100;97;87;14.0;50
controller 88;730;100;96;53;19.0;0
controller 75;733;100;97;46;20.0;50
controller 88;758;100;96;76;19.0;0
controller 75;788;100;97;82;19.0;50
controller 88;802;100;96;62;18.0;0
controller 93;804;100;84;96;8.0;50
controller 62;817;100;62;81;20.0;50
controller 75;827;100;97;77;19.0;50
controller 88;846;100;96;67;19.0;0
controller 75;869;100;97;83;18.0;50
