controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 87;1;100;94;58;15.0;90
controller 66;331;100;89;82;19.0;75
controller 87;369;100;94;71;11.0;90
controller 66;420;100;89;76;20.0;75
controller 87;465;100;94;84;12.0;90
controller 66;510;100;89;80;14.0;75
controller 81;655;100;92;70;17.0;50
controller 57;802;100;85;65;13.0;90
controller 66;814;100;89;69;16.0;75
controller 81;842;100;92;90;19.0;50
controller 57;870;100;85;91;16.0;90
controller 66;879;100;89;79;18.0;75
