controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 9;1;100;93;81;18.0;90
controller 12;2;100;87;57;20.0;50
controller 10;7;100;84;70;19.0;100
controller 92;16;100;86;98;7.0;75
controller 10;26;100;81;61;15.0;100
controller 8;33;100;74;62;20.0;100
controller 97;35;100;84;57;9.0;50
controller 32;36;100;73;80;20.0;50
controller 10;38;100;81;58;17.0;100
controller 26;40;100;81;58;20.0;0
controller 23;47;100;45;85;20.0;90
controller 64;50;100;92;81;10.0;50
controller 8;52;100;74;80;17.0;100
controller 10;54;100;80;79;18.0;100
controller 6;56;100;66;40;19.0;75
controller 45;58;100;47;72;20.0;75
controller 9;61;100;91;80;18.0;90
controller 45;68;100;47;79;20.0;75
controller 10;70;100;79;67;19.0;100
controller 92;80;100;86;68;3.0;75
controller 10;82;100;79;85;18.0;100
controller 31;85;100;78;30;20.0;75
controller 23;90;100;42;71;20.0;90
controller 10;95;100;78;84;16.0;100
controller 31;102;100;76;30;19.0;75
controller 10;106;100;77;79;20.0;100
controller 6;126;100;64;59;17.0;75
controller 31;130;100;73;24;17.0;75
controller 92;133;100;86;61;1.0;75
controller 13;135;100;39;68;15.0;100
controller 10;137;100;73;78;17.0;100
controller 13;146;100;38;68;16.0;100
controller 6;150;100;61;70;20.0;75
controller 10;151;100;73;81;20.0;100
controller 23;160;100;33;82;20.0;90
controller 31;162;100;71;46;20.0;75
controller 10;171;100;71;93;17.0;100
controller 13;175;100;34;80;20.0;100
controller 8;185;100;66;68;17.0;100
controller 97;191;100;84;45;14.0;50
controller 10;195;100;71;82;19.0;100
controller 58;199;100;92;84;19.0;50
controller 97;207;100;84;40;17.0;50
controller 10;216;100;70;89;17.0;100
controller 64;221;100;92;79;5.0;50
controller 8;223;100;61;79;17.0;100
controller 71;225;100;81;62;13.0;0
controller 10;231;100;70;81;19.0;100
controller 12;237;100;70;22;19.0;50
controller 65;239;100;96;83;13.0;75
controller 8;241;100;57;87;14.0;100
controller 64;245;100;92;81;1.0;50
controller 10;247;100;70;82;18.0;100
controller 92;257;100;86;36;10.0;75
controller 3;264;100;32;51;20.0;100
controller 10;266;100;69;84;17.0;100
controller 8;275;10;51;80;12.0;100
controller 71;277;100;81;70;12.0;0
controller 10;285;100;67;85;11.0;100
controller 64;301;100;92;80;5.0;50
controller 6;306;100;52;96;14.0;75
controller 92;310;100;86;25;11.0;75
controller 6;319;100;52;94;20.0;75
controller 10;326;100;61;81;20.0;100
controller 92;338;100;86;47;11.0;75
controller 65;353;100;96;82;19.0;75
controller 97;402;100;84;46;14.0;50
controller 64;412;100;92;85;10.0;50
controller 6;419;100;46;79;17.0;75
controller 65;421;100;96;83;19.0;75
controller 64;428;100;92;89;10.0;50
controller 92;431;100;86;26;10.0;75
controller 10;446;100;54;87;18.0;100
controller 64;450;100;92;80;7.0;50
controller 65;454;100;96;84;17.0;75
controller 58;460;100;92;82;18.0;50
controller 92;468;100;86;24;7.0;75
controller 76;469;100;75;92;17.0;50
controller 10;471;100;53;83;20.0;100
controller 64;474;100;92;80;6.0;50
controller 95;489;100;46;76;18.0;50
controller 58;502;100;92;78;20.0;50
controller 92;520;100;86;23;10.0;75
controller 65;529;100;96;80;17.0;75
controller 64;538;100;92;86;5.0;50
controller 68;542;100;78;27;15.0;75
controller 92;553;100;86;45;6.0;75
controller 71;554;100;81;85;14.0;0
controller 65;570;100;96;80;20.0;75
controller 71;583;100;81;92;17.0;0
controller 97;593;100;84;40;14.0;50
controller 64;706;100;92;84;11.0;50
controller 97;729;100;84;44;16.0;50
controller 64;731;100;92;84;8.0;50
controller 58;736;100;92;82;19.0;50
controller 84;742;100;79;21;18.0;50
controller 65;744;100;96;67;17.0;75
controller 92;745;100;86;21;11.0;75
controller 64;754;100;92;79;7.0;50
controller 97;761;100;84;21;19.0;50
controller 58;776;100;92;82;17.0;50
controller 64;779;100;92;86;6.0;50
controller 65;790;100;96;51;18.0;75
controller 71;798;100;81;96;13.0;0
controller 78;804;100;99;86;14.0;50
controller 58;806;100;92;84;19.0;50
controller 84;810;100;79;27;17.0;50
controller 95;817;100;46;80;17.0;50
controller 97;822;100;84;21;19.0;50
controller 64;836;100;92;88;3.0;50
controller 58;838;100;92;83;20.0;50
controller 73;840;100;81;20;20.0;50
controller 91;842;100;84;79;9.0;75
controller 64;860;100;92;83;9.0;50
controller 97;870;100;84;25;19.0;50
controller 58;874;100;92;85;18.0;50
controller 99;879;100;98;42;15.0;75
controller 68;883;100;78;40;8.0;75
controller 64;887;100;92;79;9.0;50
